employee_id,region,education,gender,age,department,recruitment_channel,no_of_trainings,previous_year_rating,length_of_service,awards_won?,avg_training_score,is_promoted
E59324,region_26,Bachelor's,M,26.0,Finance,sourcing,1,5.0,1,0,61,0
E31116,region_31,Bachelor's,M,34.0,Legal,other,1,1.0,5,0,59,0
E59789,region_2,Master's & above,M,34.0,Sales & Marketing,other,1,4.0,3,0,45,0
E4624,region_2,Bachelor's,M,31.0,Technology,other,1,5.0,3,0,76,1
E2345,region_7,Master's & above,M,31.0,Sales & Marketing,sourcing,1,5.0,4,0,48,0
E56033,region_2,Bachelor's,M,34.0,Finance,sourcing,1,1.0,7,0,56,0
E77129,region_13,Master's & above,M,47.0,Sales & Marketing,sourcing,1,5.0,15,0,53,0
E68337,region_2,Bachelor's,F,38.0,Sales & Marketing,other,1,1.0,3,0,51,0
E69407,region_31,Bachelor's,M,46.0,Sales & Marketing,other,1,5.0,6,0,51,0
E61068,region_22,Bachelor's,F,28.0,Operations,sourcing,2,3.0,1,0,57,0
E26698,region_2,Master's & above,F,50.0,Procurement,other,1,3.0,7,0,71,0
E70685,region_22,Bachelor's,F,30.0,Operations,other,1,5.0,6,0,59,0
E24822,region_22,Bachelor's,F,26.0,Technology,referred,1,3.0,2,0,79,0
E5786,region_22,Master's & above,M,31.0,R&D,other,1,3.0,5,0,83,0
E47510,region_2,Master's & above,M,49.0,Sales & Marketing,other,1,4.0,19,0,49,0
E67535,region_31,Bachelor's,F,29.0,Sales & Marketing,other,1,3.0,4,0,46,0
E27892,region_28,Bachelor's,M,27.0,Sales & Marketing,other,1,5.0,3,0,49,0
E75195,region_34,Bachelor's,M,29.0,Procurement,sourcing,1,3.0,5,0,71,0
E38448,region_26,Bachelor's,M,27.0,Legal,sourcing,1,3.0,2,0,57,0
E9573,region_17,Bachelor's,M,26.0,Operations,other,1,3.0,1,0,59,0
E76950,region_1,Bachelor's,M,31.0,Technology,other,1,4.0,1,0,81,0
E57813,region_34,Bachelor's,F,27.0,Sales & Marketing,sourcing,1,3.0,1,0,47,0
E41354,region_2,Bachelor's,M,40.0,Technology,other,1,2.0,6,0,77,0
E52378,region_16,Master's & above,M,33.0,Procurement,sourcing,1,3.0,7,0,69,0
E53166,region_2,Master's & above,F,43.0,Operations,sourcing,1,3.0,12,0,65,0
E53818,region_17,Bachelor's,M,53.0,Procurement,sourcing,1,2.0,16,0,68,0
E70068,region_1,Master's & above,F,35.0,Operations,sourcing,1,3.0,2,0,61,0
E6667,region_11,Master's & above,M,41.0,Operations,other,1,5.0,3,0,63,0
E46032,region_13,Bachelor's,M,29.0,Sales & Marketing,other,1,5.0,1,0,47,0
E77981,region_22,Bachelor's,M,27.0,Finance,other,1,1.0,1,1,58,1
E31548,region_22,Bachelor's,M,29.0,R&D,sourcing,1,3.0,1,0,81,0
E18244,region_22,Bachelor's,M,38.0,Procurement,other,1,4.0,9,0,66,0
E41360,region_13,Bachelor's,M,27.0,Sales & Marketing,sourcing,1,5.0,3,0,50,0
E43382,region_14,Bachelor's,M,26.0,Operations,other,1,5.0,3,0,63,0
E38004,region_2,Bachelor's,M,22.0,Sales & Marketing,other,1,2.0,1,0,53,0
E71577,region_7,Bachelor's,M,36.0,Operations,other,2,3.0,7,0,62,0
E57208,region_15,Bachelor's,M,34.0,Sales & Marketing,sourcing,1,5.0,8,0,48,0
E48424,region_7,Bachelor's,M,56.0,Sales & Marketing,other,1,3.0,6,0,50,0
E66881,region_3,Bachelor's,M,28.0,Sales & Marketing,sourcing,1,3.0,2,0,51,0
E39283,region_13,Bachelor's,F,29.0,Operations,sourcing,1,5.0,3,0,61,0
E65385,region_2,Bachelor's,F,38.0,Operations,sourcing,1,5.0,9,0,57,0
E19191,region_2,Bachelor's,F,28.0,Operations,sourcing,1,1.0,4,0,64,0
E61725,region_27,Bachelor's,M,33.0,Sales & Marketing,other,1,4.0,7,0,53,0
E63881,region_15,Master's & above,F,48.0,Operations,other,2,3.0,20,0,59,0
E56543,region_7,Master's & above,M,40.0,Operations,sourcing,1,3.0,10,0,58,0
E1907,region_30,Bachelor's,M,24.0,Sales & Marketing,other,1,2.0,1,0,53,0
E71439,region_2,Bachelor's,F,31.0,Operations,sourcing,2,3.0,3,0,59,0
E25073,region_2,Bachelor's,M,32.0,Finance,other,1,4.0,6,0,55,0
E32192,region_10,Bachelor's,M,27.0,Sales & Marketing,other,1,5.0,2,0,49,1
E60724,region_23,Master's & above,F,39.0,Procurement,other,1,3.0,13,0,70,0
E65961,region_4,Bachelor's,M,29.0,Sales & Marketing,sourcing,1,3.0,3,0,46,0
E23839,region_17,Master's & above,F,34.0,Procurement,other,1,3.0,3,0,71,1
E73750,region_2,Bachelor's,M,51.0,Operations,sourcing,1,3.0,20,0,58,0
E59852,region_32,Bachelor's,F,28.0,Analytics,other,1,1.0,5,0,82,0
E50905,region_28,Master's & above,M,33.0,Sales & Marketing,sourcing,1,5.0,3,0,94,1
E32739,region_14,Bachelor's,M,33.0,Analytics,sourcing,1,3.0,7,0,87,0
E2718,region_13,Master's & above,M,34.0,Technology,sourcing,1,4.0,8,0,82,0
E23596,region_15,Bachelor's,M,36.0,Operations,other,1,5.0,7,0,55,0
E31629,region_2,Bachelor's,F,30.0,Technology,other,1,3.0,2,0,76,0
E16273,region_31,Bachelor's,M,29.0,Procurement,other,1,5.0,7,0,72,0
E48961,region_2,Bachelor's,M,48.0,Technology,other,1,5.0,14,0,77,0
E27795,region_32,Bachelor's,M,29.0,Sales & Marketing,sourcing,1,2.0,9,0,65,1
E45805,region_2,Master's & above,F,55.0,Legal,sourcing,1,3.0,23,0,60,0
E1295,region_6,Bachelor's,F,34.0,Operations,other,1,1.0,6,0,60,0
E36962,region_2,Bachelor's,F,30.0,Technology,sourcing,2,5.0,2,0,79,1
E66527,region_25,Master's & above,M,38.0,Sales & Marketing,sourcing,1,5.0,7,0,51,1
E75495,region_7,Master's & above,F,45.0,Technology,sourcing,1,3.0,3,0,82,0
E41433,region_28,Bachelor's,M,29.0,Analytics,sourcing,1,3.0,2,0,85,0
E46365,region_16,Bachelor's,M,42.0,Operations,other,1,4.0,6,0,60,0
E67413,region_9,Bachelor's,M,27.0,Sales & Marketing,other,1,4.0,4,0,49,0
E63569,region_23,Master's & above,M,33.0,Operations,other,1,1.0,7,0,54,0
E12698,region_10,Master's & above,F,35.0,Sales & Marketing,sourcing,1,5.0,3,0,50,0
E41217,region_27,Bachelor's,F,37.0,Operations,sourcing,1,3.0,3,0,62,0
E71777,region_28,Bachelor's,M,36.0,Sales & Marketing,other,1,1.0,4,0,48,0
E56304,region_10,Bachelor's,M,30.0,Sales & Marketing,other,1,3.0,1,0,48,0
E2968,region_2,Bachelor's,F,41.0,HR,other,1,3.0,7,0,50,0
E5517,region_19,Bachelor's,M,35.0,Sales & Marketing,other,1,5.0,7,0,53,0
E77172,region_11,Bachelor's,M,34.0,Procurement,other,1,3.0,3,0,65,0
E52908,region_11,Master's & above,F,40.0,Technology,other,1,3.0,10,0,81,0
E28145,region_11,Master's & above,M,42.0,Procurement,other,2,2.0,10,0,71,0
E60052,region_22,Bachelor's,F,32.0,Procurement,other,1,2.0,8,0,70,0
E31084,region_22,Bachelor's,M,30.0,HR,other,2,2.0,4,0,49,0
E18063,region_15,Bachelor's,M,43.0,Procurement,other,1,3.0,7,0,70,0
E40498,region_15,Bachelor's,F,40.0,Procurement,sourcing,1,5.0,7,0,71,0
E28937,region_3,Bachelor's,M,38.0,Sales & Marketing,sourcing,1,5.0,9,0,56,0
E26780,region_2,Bachelor's,F,24.0,Technology,other,1,5.0,1,0,82,0
E11695,region_16,Bachelor's,M,34.0,Technology,sourcing,1,5.0,7,0,75,1
E75275,region_22,Master's & above,F,34.0,Technology,other,1,3.0,9,0,78,1
E65342,region_31,Bachelor's,M,36.0,Analytics,sourcing,1,4.0,7,0,87,0
E30906,region_23,Master's & above,F,37.0,Operations,sourcing,2,3.0,7,0,63,1
E35992,region_13,Bachelor's,M,30.0,Procurement,sourcing,1,5.0,4,0,70,0
E64130,region_16,Bachelor's,M,27.0,Procurement,other,1,1.0,2,0,67,0
E13815,region_27,Bachelor's,M,34.0,Sales & Marketing,other,3,3.0,6,0,50,0
E36665,region_4,Bachelor's,F,32.0,Technology,other,1,1.0,4,0,85,0
E67974,region_23,Master's & above,M,35.0,Analytics,sourcing,2,5.0,7,0,99,1
E31159,region_2,Bachelor's,F,44.0,Finance,other,1,3.0,7,0,56,0
E30298,region_2,Below Secondary,M,23.0,Technology,sourcing,2,4.0,1,0,81,0
E543,region_8,Bachelor's,M,31.0,Analytics,other,1,1.0,4,0,87,0
E43756,region_7,Bachelor's,F,31.0,Operations,other,3,5.0,5,0,56,0
E62679,region_31,Master's & above,M,43.0,Sales & Marketing,sourcing,1,3.0,4,0,47,0
E44408,region_2,Bachelor's,M,45.0,Operations,other,2,3.0,13,0,59,0
E7067,region_7,Master's & above,F,42.0,HR,other,1,4.0,11,0,52,0
E26281,region_27,Bachelor's,F,28.0,Procurement,other,1,3.0,4,1,80,1
E29665,region_2,Master's & above,M,54.0,HR,other,1,2.0,23,0,49,0
E25949,region_29,Bachelor's,M,33.0,Operations,other,1,3.0,5,0,60,0
E30505,region_26,Bachelor's,M,34.0,Procurement,other,1,1.0,3,0,70,0
E36884,region_7,Bachelor's,F,30.0,Operations,other,1,5.0,2,0,60,0
E5947,region_28,Bachelor's,M,36.0,Sales & Marketing,sourcing,1,3.0,3,0,45,0
E613,region_13,Bachelor's,M,44.0,Technology,sourcing,1,1.0,12,0,79,0
E20229,region_7,Bachelor's,M,31.0,Sales & Marketing,other,2,3.0,5,0,46,0
E527,region_2,Master's & above,M,47.0,Analytics,other,2,3.0,15,0,84,0
E14904,region_4,Bachelor's,M,38.0,Sales & Marketing,sourcing,1,3.0,7,0,51,0
E57173,region_1,Master's & above,M,34.0,Analytics,sourcing,1,5.0,7,0,82,0
E72504,region_14,Master's & above,M,35.0,Analytics,sourcing,1,3.0,3,0,87,0
E31400,region_5,Bachelor's,M,24.0,HR,sourcing,1,4.0,1,0,50,0
E30873,region_1,Bachelor's,F,26.0,Finance,other,1,3.0,3,0,57,0
E78289,region_6,Bachelor's,M,30.0,Sales & Marketing,sourcing,2,4.0,1,0,52,0
E19228,region_22,Bachelor's,M,30.0,Procurement,other,5,3.0,6,0,66,0
E55823,region_2,Bachelor's,M,36.0,Legal,sourcing,3,3.0,4,0,62,0
E13996,region_2,Bachelor's,F,47.0,Technology,sourcing,1,4.0,14,0,82,0
E5593,region_22,Bachelor's,M,28.0,Sales & Marketing,referred,1,2.0,3,0,46,0
E23763,region_28,Bachelor's,M,34.0,Analytics,sourcing,1,4.0,6,0,81,0
E7383,region_34,Master's & above,F,35.0,Operations,sourcing,1,3.0,6,0,58,0
E26117,region_22,Bachelor's,M,22.0,Operations,sourcing,3,3.0,1,0,60,0
E57892,region_5,Bachelor's,M,34.0,Sales & Marketing,sourcing,1,2.0,4,0,50,0
E43016,region_31,Bachelor's,M,29.0,Operations,sourcing,1,1.0,6,0,60,0
E21688,region_2,Master's & above,F,31.0,Technology,other,1,2.0,3,0,81,0
E46250,region_28,Bachelor's,M,30.0,HR,other,1,3.0,1,0,49,0
E37470,region_31,Bachelor's,M,28.0,Operations,other,1,3.0,2,0,64,0
E71124,region_13,Master's & above,M,34.0,R&D,other,3,4.0,6,0,85,0
E44364,region_6,Bachelor's,F,32.0,Sales & Marketing,other,1,1.0,5,0,46,0
E11560,region_22,Bachelor's,M,31.0,Sales & Marketing,sourcing,1,5.0,2,0,95,1
E35797,region_2,Master's & above,M,44.0,Legal,other,1,4.0,2,0,58,0
E55139,region_31,Master's & above,F,40.0,Technology,other,1,3.0,9,0,78,0
E16209,region_2,Bachelor's,M,59.0,Sales & Marketing,other,1,5.0,4,0,46,0
E31631,region_10,Master's & above,M,36.0,Technology,sourcing,1,4.0,5,0,83,0
E64758,region_2,Master's & above,M,55.0,Procurement,other,1,4.0,16,0,72,0
E60130,region_22,Master's & above,M,39.0,Operations,other,2,5.0,6,0,61,0
E52495,region_2,Bachelor's,F,30.0,Sales & Marketing,other,1,3.0,6,0,48,0
E78051,region_17,Bachelor's,M,29.0,Sales & Marketing,other,2,3.0,6,0,56,0
E48811,region_16,Master's & above,M,36.0,HR,sourcing,1,5.0,2,0,51,0
E62319,region_2,Bachelor's,M,43.0,Sales & Marketing,other,1,4.0,2,0,51,0
E49837,region_9,Bachelor's,M,30.0,Analytics,sourcing,1,5.0,4,0,84,0
E46463,region_28,Bachelor's,M,29.0,Sales & Marketing,other,1,3.0,4,0,49,0
E19117,region_22,Master's & above,F,36.0,HR,other,1,5.0,13,0,52,0
E33691,region_2,Bachelor's,M,32.0,Sales & Marketing,other,1,4.0,5,0,47,0
E51970,region_2,Master's & above,F,35.0,Sales & Marketing,sourcing,1,1.0,6,0,53,0
E19870,region_2,Bachelor's,M,38.0,Technology,sourcing,1,1.0,8,0,80,0
E639,region_25,Bachelor's,M,31.0,Analytics,other,1,1.0,6,0,89,0
E6161,region_26,Bachelor's,M,30.0,HR,sourcing,1,5.0,5,0,52,0
E7845,region_2,Bachelor's,F,55.0,Procurement,sourcing,1,4.0,14,0,68,0
E13407,region_23,Master's & above,M,42.0,Sales & Marketing,other,1,4.0,11,0,54,0
E46676,region_16,Bachelor's,M,31.0,Operations,other,1,3.0,7,0,60,0
E58143,region_32,Bachelor's,F,28.0,Operations,other,1,4.0,1,0,59,0
E2865,region_31,Bachelor's,M,27.0,Technology,sourcing,3,5.0,2,0,84,0
E60750,region_3,Master's & above,M,35.0,Sales & Marketing,sourcing,1,5.0,9,0,51,0
E59778,region_16,Bachelor's,M,39.0,Sales & Marketing,sourcing,2,3.0,4,0,54,0
E2208,region_2,Master's & above,M,46.0,Sales & Marketing,other,1,5.0,7,0,48,0
E38371,region_22,Bachelor's,M,32.0,Technology,other,1,3.0,6,0,81,0
E38964,region_22,Bachelor's,F,31.0,Procurement,sourcing,1,3.0,5,0,67,0
E50126,region_6,Bachelor's,M,26.0,Finance,sourcing,1,3.0,3,1,58,0
E65862,region_22,Master's & above,M,34.0,Operations,other,2,5.0,8,0,73,1
E29381,region_7,Bachelor's,M,37.0,Technology,other,1,4.0,7,0,81,0
E2466,region_2,Master's & above,M,48.0,Procurement,other,1,3.0,16,0,81,1
E72554,region_19,Bachelor's,M,33.0,Operations,other,1,5.0,7,0,61,0
E27479,region_25,Bachelor's,M,29.0,Finance,other,3,2.0,1,0,59,0
E6348,region_28,Bachelor's,M,29.0,Sales & Marketing,other,1,5.0,5,0,49,0
E65323,region_15,Master's & above,M,32.0,Sales & Marketing,other,2,1.0,5,0,49,0
E15819,region_12,Bachelor's,M,28.0,Analytics,other,1,5.0,3,0,81,0
E70330,region_2,Master's & above,M,36.0,Technology,other,2,3.0,9,0,78,0
E12637,region_2,Bachelor's,F,38.0,Procurement,other,1,5.0,5,0,73,0
E57963,region_6,Bachelor's,M,35.0,Procurement,sourcing,1,4.0,3,0,72,0
E8446,region_14,Bachelor's,M,30.0,Sales & Marketing,other,1,5.0,4,0,47,0
E56317,region_22,Bachelor's,M,30.0,Sales & Marketing,sourcing,1,4.0,1,0,49,0
E64219,region_4,Bachelor's,F,39.0,Operations,other,1,4.0,4,0,54,0
E65171,region_15,Master's & above,M,35.0,Sales & Marketing,other,1,2.0,3,0,54,0
E72846,region_22,Master's & above,M,32.0,Analytics,other,1,4.0,2,0,85,1
E6648,region_2,Bachelor's,M,41.0,Technology,sourcing,1,3.0,4,0,80,0
E23993,region_22,Master's & above,M,33.0,Operations,sourcing,2,5.0,6,0,58,1
E33885,region_7,Bachelor's,M,28.0,Analytics,other,1,1.0,2,0,85,0
E6990,region_22,Bachelor's,M,27.0,Analytics,sourcing,2,5.0,4,0,89,0
E70167,region_26,Bachelor's,M,40.0,Finance,sourcing,2,3.0,7,0,62,0
E38087,region_2,Bachelor's,F,55.0,Procurement,other,2,3.0,28,0,67,0
E69847,region_26,Bachelor's,F,32.0,Operations,other,1,4.0,2,0,59,0
E2259,region_2,Bachelor's,M,32.0,Legal,sourcing,1,1.0,2,0,63,0
E19837,region_15,Bachelor's,M,44.0,Operations,sourcing,1,1.0,16,1,62,0
E40469,region_13,Master's & above,M,40.0,Procurement,other,1,2.0,5,0,69,0
E32576,region_2,Master's & above,M,56.0,Technology,other,1,3.0,19,0,83,0
E38368,region_7,Bachelor's,M,48.0,Legal,other,1,5.0,16,0,54,0
E2521,region_26,Bachelor's,M,32.0,Analytics,sourcing,1,3.0,6,0,87,0
E58303,region_22,Bachelor's,M,29.0,Sales & Marketing,sourcing,1,4.0,3,0,47,0
E40998,region_29,Bachelor's,M,45.0,Operations,other,1,3.0,6,0,59,0
E32619,region_31,Master's & above,M,38.0,Sales & Marketing,sourcing,1,3.0,7,0,44,0
E26133,region_2,Master's & above,M,36.0,Procurement,sourcing,1,4.0,9,0,72,0
E39997,region_21,Bachelor's,M,29.0,Analytics,other,1,3.0,5,0,81,0
E748,region_22,Bachelor's,M,28.0,R&D,other,3,3.0,4,1,86,0
E75017,region_2,Bachelor's,F,36.0,HR,referred,1,5.0,7,0,46,0
E28013,region_17,Master's & above,F,33.0,Procurement,sourcing,1,3.0,7,0,73,0
E31440,region_21,Bachelor's,M,27.0,Sales & Marketing,sourcing,1,2.0,6,0,48,0
E41705,region_2,Bachelor's,M,38.0,Legal,other,1,3.0,6,1,60,0
E68166,region_11,Bachelor's,M,29.0,Analytics,sourcing,2,5.0,5,0,81,1
E43037,region_4,Bachelor's,M,29.0,Procurement,other,1,3.0,5,0,71,0
E27601,region_14,Master's & above,M,38.0,Sales & Marketing,other,1,1.0,9,0,50,0
E7540,region_13,Bachelor's,F,37.0,HR,sourcing,1,3.0,3,0,44,0
E40822,region_13,Master's & above,M,33.0,Analytics,other,1,3.0,6,0,87,0
E63749,region_11,Bachelor's,F,32.0,HR,sourcing,1,3.0,3,0,53,0
E69220,region_22,Bachelor's,M,32.0,Procurement,sourcing,1,2.0,3,0,69,0
E40367,region_22,Master's & above,M,38.0,Operations,other,1,4.0,4,0,63,0
E64908,region_11,Master's & above,M,39.0,Technology,other,1,1.0,7,0,76,0
E39971,region_24,Bachelor's,F,30.0,Technology,sourcing,1,1.0,5,0,80,0
E451,region_13,Bachelor's,M,30.0,Analytics,sourcing,1,3.0,5,0,85,0
E21581,region_11,Bachelor's,M,42.0,Sales & Marketing,sourcing,1,5.0,4,0,48,0
E5530,region_7,Bachelor's,M,28.0,Technology,other,1,3.0,5,0,79,0
E34416,region_15,Bachelor's,M,38.0,Procurement,other,1,5.0,2,1,75,0
E67219,region_22,Bachelor's,M,26.0,Finance,other,4,4.0,4,0,64,0
E25523,region_2,Bachelor's,M,26.0,Sales & Marketing,other,1,3.0,3,0,50,0
E13020,region_33,Master's & above,M,53.0,Technology,other,1,3.0,20,0,76,0
E40648,region_31,Master's & above,F,35.0,Operations,sourcing,1,1.0,3,0,59,0
E61430,region_5,Bachelor's,F,31.0,Procurement,other,1,3.0,9,0,69,0
E23728,region_13,Bachelor's,M,38.0,Technology,other,1,2.0,2,0,81,0
E19473,region_12,Bachelor's,M,36.0,Technology,sourcing,1,3.0,7,0,80,0
E44707,region_4,Bachelor's,F,36.0,Procurement,other,1,5.0,5,0,65,0
E50472,region_19,Bachelor's,M,46.0,Sales & Marketing,sourcing,1,3.0,6,0,53,0
E72827,region_7,Bachelor's,F,31.0,Operations,sourcing,2,3.0,3,0,62,0
E55274,region_22,Bachelor's,F,34.0,Operations,sourcing,1,3.0,8,0,59,0
E39304,region_2,Master's & above,M,40.0,Operations,other,2,3.0,7,0,63,0
E2538,region_2,Bachelor's,M,54.0,Analytics,other,2,5.0,18,0,85,0
E23292,region_13,Bachelor's,F,25.0,HR,sourcing,1,1.0,1,0,49,0
E54312,region_2,Master's & above,M,34.0,HR,other,2,3.0,3,0,49,0
E68196,region_2,Below Secondary,M,20.0,Technology,sourcing,2,1.0,2,1,78,0
E75812,region_28,Bachelor's,M,27.0,Analytics,other,1,3.0,2,0,89,1
E55379,region_1,Bachelor's,M,36.0,Sales & Marketing,sourcing,2,3.0,7,0,50,0
E68820,region_2,Bachelor's,F,30.0,Technology,sourcing,1,3.0,5,0,82,0
E30230,region_7,Master's & above,M,39.0,Finance,sourcing,1,4.0,5,0,62,0
E72479,region_33,Bachelor's,M,33.0,Operations,other,1,3.0,5,1,60,0
E14643,region_13,Bachelor's,M,40.0,Sales & Marketing,sourcing,1,3.0,4,0,45,0
E37093,region_5,Bachelor's,M,31.0,Sales & Marketing,other,2,1.0,3,0,51,0
E7829,region_13,Bachelor's,M,34.0,Sales & Marketing,sourcing,1,1.0,3,0,49,0
E13034,region_20,Master's & above,M,36.0,HR,other,1,3.0,4,0,54,0
E51771,region_17,Bachelor's,M,42.0,Operations,other,1,5.0,11,0,67,0
E68241,region_4,Bachelor's,F,46.0,Technology,sourcing,1,3.0,16,0,77,0
E18035,region_33,Bachelor's,M,31.0,Sales & Marketing,other,1,4.0,5,0,54,0
E44089,region_25,Bachelor's,M,34.0,Sales & Marketing,other,1,1.0,5,0,52,0
E32800,region_19,Master's & above,M,50.0,Operations,other,1,4.0,16,0,57,0
E75846,region_2,Bachelor's,F,26.0,Analytics,other,1,4.0,2,0,85,0
E67129,region_20,Master's & above,M,41.0,Sales & Marketing,other,2,4.0,9,0,49,0
E48720,region_19,Bachelor's,M,34.0,Procurement,other,1,5.0,3,0,67,0
E24695,region_5,Bachelor's,M,25.0,Sales & Marketing,sourcing,1,5.0,3,0,51,0
E37444,region_2,Bachelor's,M,40.0,Analytics,sourcing,1,5.0,6,0,78,0
E20317,region_2,Bachelor's,F,30.0,Operations,other,1,2.0,8,0,62,0
E68366,region_11,Master's & above,M,39.0,Operations,sourcing,1,2.0,3,0,59,1
E35003,region_22,Bachelor's,M,28.0,Sales & Marketing,referred,1,3.0,1,0,50,0
E36695,region_2,Bachelor's,M,59.0,Sales & Marketing,other,3,3.0,10,0,53,0
E31341,region_23,Bachelor's,M,31.0,Finance,sourcing,1,3.0,5,0,62,0
E18639,region_1,Bachelor's,M,27.0,Sales & Marketing,sourcing,1,4.0,3,0,51,0
E25508,region_2,Bachelor's,F,35.0,Procurement,referred,1,3.0,9,0,67,0
E74832,region_2,Master's & above,M,44.0,Sales & Marketing,other,1,5.0,6,0,53,0
E16568,region_8,Bachelor's,M,33.0,Operations,sourcing,1,5.0,7,0,61,0
E12367,region_7,Bachelor's,M,30.0,Procurement,other,1,4.0,3,0,64,0
E1103,region_11,Bachelor's,M,30.0,Sales & Marketing,other,1,4.0,7,0,50,0
E68041,region_28,Bachelor's,M,34.0,Analytics,other,1,4.0,6,0,81,0
E2741,region_7,Master's & above,M,37.0,Procurement,other,1,3.0,4,0,70,0
E36249,region_32,Bachelor's,M,28.0,Operations,other,1,1.0,2,0,58,0
E53764,region_2,Bachelor's,F,37.0,Procurement,other,1,2.0,12,0,70,0
E12775,region_7,Master's & above,M,36.0,Operations,sourcing,1,5.0,9,0,66,0
E59394,region_2,Bachelor's,M,24.0,Analytics,other,2,2.0,3,0,88,0
E26467,region_19,Bachelor's,M,32.0,Procurement,other,1,5.0,7,0,67,0
E20758,region_11,Bachelor's,M,25.0,Sales & Marketing,sourcing,1,3.0,2,0,53,0
E9449,region_2,Bachelor's,M,40.0,Operations,sourcing,1,3.0,6,0,55,0
E10270,region_25,Bachelor's,M,30.0,Technology,other,1,1.0,3,0,79,0
E48376,region_22,Bachelor's,F,26.0,Technology,referred,2,4.0,2,0,77,0
E24080,region_22,Master's & above,M,34.0,R&D,sourcing,1,4.0,4,0,92,0
E59097,region_7,Bachelor's,M,36.0,Operations,sourcing,1,4.0,9,0,61,0
E64685,region_2,Master's & above,F,45.0,HR,sourcing,1,3.0,6,0,45,0
E8426,region_16,Bachelor's,M,37.0,Sales & Marketing,sourcing,1,5.0,3,0,46,0
E57595,region_4,Bachelor's,M,46.0,Sales & Marketing,sourcing,1,3.0,6,0,44,0
E60322,region_22,Bachelor's,M,34.0,Legal,sourcing,1,5.0,7,0,63,0
E3828,region_22,Bachelor's,M,30.0,Technology,sourcing,1,3.0,6,0,79,0
E57645,region_2,Master's & above,F,59.0,Operations,other,1,3.0,6,0,59,0
E70116,region_28,Bachelor's,M,41.0,Sales & Marketing,other,1,5.0,10,0,46,0
E14715,region_7,Bachelor's,M,29.0,Technology,sourcing,2,5.0,2,0,83,0
E8661,region_7,Master's & above,F,32.0,Operations,sourcing,2,3.0,4,0,60,0
E32961,region_22,Bachelor's,M,54.0,Operations,other,1,4.0,16,0,58,0
E40659,region_2,Bachelor's,M,41.0,Sales & Marketing,sourcing,1,5.0,11,0,51,1
E46925,region_9,Master's & above,F,36.0,Operations,other,1,4.0,6,0,59,0
E62693,region_22,Bachelor's,F,27.0,Procurement,sourcing,3,3.0,4,0,71,0
E61235,region_2,Bachelor's,M,41.0,Sales & Marketing,other,2,3.0,9,0,50,0
