employee_id,department,recruitment_channel,no_of_trainings,previous_year_rating,length_of_service,awards_won?,avg_training_score,is_promoted
E38004,Sales & Marketing,other,1,,1,0,53,0
E71577,Operations,other,2,3.0,7,0,62,0
E57208,Sales & Marketing,sourcing,1,5.0,8,0,48,0
E48424,Sales & Marketing,other,1,3.0,6,0,50,0
E66881,Sales & Marketing,sourcing,1,3.0,2,0,51,0
E39283,Operations,sourcing,1,5.0,3,0,61,0
E65385,Operations,sourcing,1,5.0,9,0,57,0
E19191,Operations,sourcing,1,1.0,4,0,64,0
E61725,Sales & Marketing,other,1,4.0,7,0,53,0
E63881,Operations,other,2,3.0,20,0,59,0
E56543,Operations,sourcing,1,3.0,10,0,58,0
E1907,Sales & Marketing,other,1,,1,0,53,0
E71439,Operations,sourcing,2,3.0,3,0,59,0
E25073,Finance,other,1,4.0,6,0,55,0
E32192,Sales & Marketing,other,1,5.0,2,0,49,1
E60724,Procurement,other,1,3.0,13,0,70,0
E65961,Sales & Marketing,sourcing,1,3.0,3,0,46,0
E23839,Procurement,other,1,3.0,3,0,71,1
E73750,Operations,sourcing,1,3.0,20,0,58,0
E59852,Analytics,other,1,1.0,5,0,82,0
E50905,Sales & Marketing,sourcing,1,5.0,3,0,94,1
E32739,Analytics,sourcing,1,3.0,7,0,87,0
E2718,Technology,sourcing,1,4.0,8,0,82,0
E23596,Operations,other,1,5.0,7,0,55,0
E31629,Technology,other,1,3.0,2,0,76,0
E16273,Procurement,other,1,5.0,7,0,72,0
E48961,Technology,other,1,5.0,14,0,77,0
E27795,Sales & Marketing,sourcing,1,2.0,9,0,65,1
E45805,Legal,sourcing,1,3.0,23,0,60,0
E1295,Operations,other,1,1.0,6,0,60,0
E36962,Technology,sourcing,2,5.0,2,0,79,1
E66527,Sales & Marketing,sourcing,1,5.0,7,0,51,1
E75495,Technology,sourcing,1,3.0,3,0,82,0
E41433,Analytics,sourcing,1,3.0,2,0,85,0
E46365,Operations,other,1,4.0,6,0,60,0
E67413,Sales & Marketing,other,1,4.0,4,0,49,0
E63569,Operations,other,1,1.0,7,0,54,0
E12698,Sales & Marketing,sourcing,1,5.0,3,0,50,0
E41217,Operations,sourcing,1,3.0,3,0,62,0
E71777,Sales & Marketing,other,1,1.0,4,0,48,0
E56304,Sales & Marketing,other,1,,1,0,48,0
E2968,HR,other,1,3.0,7,0,50,0
E5517,Sales & Marketing,other,1,5.0,7,0,53,0
E77172,Procurement,other,1,3.0,3,0,65,0
E52908,Technology,other,1,3.0,10,0,81,0
E28145,Procurement,other,2,2.0,10,0,71,0
E60052,Procurement,other,1,2.0,8,0,70,0
E31084,HR,other,2,2.0,4,0,49,0
E18063,Procurement,other,1,3.0,7,0,70,0
E40498,Procurement,sourcing,1,5.0,7,0,71,0
E28937,Sales & Marketing,sourcing,1,5.0,9,0,56,0
E26780,Technology,other,1,,1,0,82,0
E11695,Technology,sourcing,1,5.0,7,0,75,1
E75275,Technology,other,1,3.0,9,0,78,1
E65342,Analytics,sourcing,1,4.0,7,0,87,0
E30906,Operations,sourcing,2,3.0,7,0,63,1
E35992,Procurement,sourcing,1,5.0,4,0,70,0
E64130,Procurement,other,1,1.0,2,0,67,0
E13815,Sales & Marketing,other,3,3.0,6,0,50,0
E36665,Technology,other,1,1.0,4,0,85,0
E67974,Analytics,sourcing,2,5.0,7,0,99,1
E31159,Finance,other,1,3.0,7,0,56,0
E30298,Technology,sourcing,2,4.0,1,0,81,0
E543,Analytics,other,1,1.0,4,0,87,0
E43756,Operations,other,3,5.0,5,0,56,0
E62679,Sales & Marketing,sourcing,1,3.0,4,0,47,0
E44408,Operations,other,2,3.0,13,0,59,0
E7067,HR,other,1,4.0,11,0,52,0
E26281,Procurement,other,1,3.0,4,1,80,1
E29665,HR,other,1,2.0,23,0,49,0
E25949,Operations,other,1,3.0,5,0,60,0
E30505,Procurement,other,1,1.0,3,0,70,0
E36884,Operations,other,1,5.0,2,0,60,0
E5947,Sales & Marketing,sourcing,1,3.0,3,0,45,0
E613,Technology,sourcing,1,1.0,12,0,79,0
E20229,Sales & Marketing,other,2,3.0,5,0,46,0
E527,Analytics,other,2,3.0,15,0,84,0
E14904,Sales & Marketing,sourcing,1,3.0,7,0,51,0
E57173,Analytics,sourcing,1,5.0,7,0,82,0
E72504,Analytics,sourcing,1,3.0,3,0,87,0
E31400,HR,sourcing,1,,1,0,50,0
E30873,Finance,other,1,3.0,3,0,57,0
E78289,Sales & Marketing,sourcing,2,,1,0,52,0
E19228,Procurement,other,5,3.0,6,0,66,0
E55823,Legal,sourcing,3,3.0,4,0,62,0
E13996,Technology,sourcing,1,4.0,14,0,82,0
E5593,Sales & Marketing,referred,1,2.0,3,0,46,0
E23763,Analytics,sourcing,1,4.0,6,0,81,0
E7383,Operations,sourcing,1,3.0,6,0,58,0
E26117,Operations,sourcing,3,3.0,1,0,60,0
E57892,Sales & Marketing,sourcing,1,2.0,4,0,50,0
E43016,Operations,sourcing,1,1.0,6,0,60,0
E21688,Technology,other,1,2.0,3,0,81,0
E46250,HR,other,1,,1,0,49,0
E37470,Operations,other,1,3.0,2,0,64,0
E71124,R&D,other,3,4.0,6,0,85,0
E44364,Sales & Marketing,other,1,1.0,5,0,46,0
E11560,Sales & Marketing,sourcing,1,5.0,2,0,95,1
E35797,Legal,other,1,4.0,2,0,58,0
E55139,Technology,other,1,3.0,9,0,78,0
E16209,Sales & Marketing,other,1,5.0,4,0,46,0
E31631,Technology,sourcing,1,4.0,5,0,83,0
E64758,Procurement,other,1,4.0,16,0,72,0
E60130,Operations,other,2,5.0,6,0,61,0
E52495,Sales & Marketing,other,1,3.0,6,0,48,0
E78051,Sales & Marketing,other,2,3.0,6,0,56,0
E48811,HR,sourcing,1,5.0,2,0,51,0
E62319,Sales & Marketing,other,1,4.0,2,0,51,0
E49837,Analytics,sourcing,1,5.0,4,0,84,0
E46463,Sales & Marketing,other,1,3.0,4,0,49,0
E19117,HR,other,1,5.0,13,0,52,0
E33691,Sales & Marketing,other,1,4.0,5,0,47,0
E51970,Sales & Marketing,sourcing,1,1.0,6,0,53,0
E19870,Technology,sourcing,1,1.0,8,0,80,0
E639,Analytics,other,1,1.0,6,0,89,0
E6161,HR,sourcing,1,5.0,5,0,52,0
E7845,Procurement,sourcing,1,4.0,14,0,68,0
E13407,Sales & Marketing,other,1,4.0,11,0,54,0
E46676,Operations,other,1,3.0,7,0,60,0
E58143,Operations,other,1,,1,0,59,0
E2865,Technology,sourcing,3,5.0,2,0,84,0
E60750,Sales & Marketing,sourcing,1,5.0,9,0,51,0
E59778,Sales & Marketing,sourcing,2,3.0,4,0,54,0
E2208,Sales & Marketing,other,1,5.0,7,0,48,0
E38371,Technology,other,1,3.0,6,0,81,0
E38964,Procurement,sourcing,1,3.0,5,0,67,0
E50126,Finance,sourcing,1,3.0,3,1,58,0
E65862,Operations,other,2,5.0,8,0,73,1
E29381,Technology,other,1,4.0,7,0,81,0
E2466,Procurement,other,1,3.0,16,0,81,1
E72554,Operations,other,1,5.0,7,0,61,0
E27479,Finance,other,3,,1,0,59,0
E6348,Sales & Marketing,other,1,5.0,5,0,49,0
E65323,Sales & Marketing,other,2,1.0,5,0,49,0
E15819,Analytics,other,1,5.0,3,0,81,0
E70330,Technology,other,2,3.0,9,0,78,0
E12637,Procurement,other,1,5.0,5,0,73,0
E57963,Procurement,sourcing,1,4.0,3,0,72,0
E8446,Sales & Marketing,other,1,5.0,4,0,47,0
E56317,Sales & Marketing,sourcing,1,,1,0,49,0
E64219,Operations,other,1,4.0,4,0,54,0
E65171,Sales & Marketing,other,1,2.0,3,0,54,0
E72846,Analytics,other,1,4.0,2,0,85,1
E6648,Technology,sourcing,1,3.0,4,0,80,0
E23993,Operations,sourcing,2,5.0,6,0,58,1
E33885,Analytics,other,1,1.0,2,0,85,0
E6990,Analytics,sourcing,2,5.0,4,0,89,0
E70167,Finance,sourcing,2,3.0,7,0,62,0
E38087,Procurement,other,2,3.0,28,0,67,0
E69847,Operations,other,1,4.0,2,0,59,0
E2259,Legal,sourcing,1,1.0,2,0,63,0
E19837,Operations,sourcing,1,1.0,16,1,62,0
E40469,Procurement,other,1,2.0,5,0,69,0
E32576,Technology,other,1,3.0,19,0,83,0
E38368,Legal,other,1,5.0,16,0,54,0
E2521,Analytics,sourcing,1,3.0,6,0,87,0
E58303,Sales & Marketing,sourcing,1,4.0,3,0,47,0
E40998,Operations,other,1,3.0,6,0,59,0
E32619,Sales & Marketing,sourcing,1,3.0,7,0,44,0
E26133,Procurement,sourcing,1,4.0,9,0,72,0
E39997,Analytics,other,1,3.0,5,0,81,0
E748,R&D,other,3,3.0,4,1,86,0
E75017,HR,referred,1,5.0,7,0,46,0
E28013,Procurement,sourcing,1,3.0,7,0,73,0
E31440,Sales & Marketing,sourcing,1,2.0,6,0,48,0
E41705,Legal,other,1,3.0,6,1,60,0
E68166,Analytics,sourcing,2,5.0,5,0,81,1
E43037,Procurement,other,1,3.0,5,0,71,0
E27601,Sales & Marketing,other,1,1.0,9,0,50,0
E7540,HR,sourcing,1,3.0,3,0,44,0
E40822,Analytics,other,1,3.0,6,0,87,0
E63749,HR,sourcing,1,3.0,3,0,53,0
E69220,Procurement,sourcing,1,2.0,3,0,69,0
E40367,Operations,other,1,4.0,4,0,63,0
E64908,Technology,other,1,1.0,7,0,76,0
E39971,Technology,sourcing,1,1.0,5,0,80,0
E451,Analytics,sourcing,1,3.0,5,0,85,0
E21581,Sales & Marketing,sourcing,1,5.0,4,0,48,0
E5530,Technology,other,1,3.0,5,0,79,0
E34416,Procurement,other,1,5.0,2,1,75,0
E67219,Finance,other,4,4.0,4,0,64,0
E25523,Sales & Marketing,other,1,3.0,3,0,50,0
E13020,Technology,other,1,3.0,20,0,76,0
E40648,Operations,sourcing,1,1.0,3,0,59,0
E61430,Procurement,other,1,3.0,9,0,69,0
E23728,Technology,other,1,2.0,2,0,81,0
E19473,Technology,sourcing,1,3.0,7,0,80,0
E44707,Procurement,other,1,5.0,5,0,65,0
E50472,Sales & Marketing,sourcing,1,3.0,6,0,53,0
E72827,Operations,sourcing,2,3.0,3,0,62,0
E55274,Operations,sourcing,1,3.0,8,0,59,0
E39304,Operations,other,2,3.0,7,0,63,0
E2538,Analytics,other,2,5.0,18,0,85,0
E23292,HR,sourcing,1,,1,0,49,0
E54312,HR,other,2,3.0,3,0,49,0
E68196,Technology,sourcing,2,1.0,2,1,78,0
E75812,Analytics,other,1,3.0,2,0,89,1
E55379,Sales & Marketing,sourcing,2,3.0,7,0,50,0
E68820,Technology,sourcing,1,3.0,5,0,82,0
E30230,Finance,sourcing,1,4.0,5,0,62,0
E72479,Operations,other,1,3.0,5,1,60,0
E14643,Sales & Marketing,sourcing,1,3.0,4,0,45,0
E37093,Sales & Marketing,other,2,1.0,3,0,51,0
E7829,Sales & Marketing,sourcing,1,1.0,3,0,49,0
E13034,HR,other,1,3.0,4,0,54,0
E51771,Operations,other,1,5.0,11,0,67,0
E68241,Technology,sourcing,1,3.0,16,0,77,0
E18035,Sales & Marketing,other,1,4.0,5,0,54,0
E44089,Sales & Marketing,other,1,1.0,5,0,52,0
E32800,Operations,other,1,4.0,16,0,57,0
E75846,Analytics,other,1,4.0,2,0,85,0
E67129,Sales & Marketing,other,2,4.0,9,0,49,0
E48720,Procurement,other,1,5.0,3,0,67,0
E24695,Sales & Marketing,sourcing,1,5.0,3,0,51,0
E37444,Analytics,sourcing,1,5.0,6,0,78,0
E20317,Operations,other,1,2.0,8,0,62,0
E68366,Operations,sourcing,1,2.0,3,0,59,1
E35003,Sales & Marketing,referred,1,3.0,1,0,50,0
E36695,Sales & Marketing,other,3,3.0,10,0,53,0
E31341,Finance,sourcing,1,3.0,5,0,62,0
E18639,Sales & Marketing,sourcing,1,4.0,3,0,51,0
E25508,Procurement,referred,1,3.0,9,0,67,0
E74832,Sales & Marketing,other,1,5.0,6,0,53,0
E16568,Operations,sourcing,1,5.0,7,0,61,0
E12367,Procurement,other,1,4.0,3,0,64,0
E1103,Sales & Marketing,other,1,4.0,7,0,50,0
E68041,Analytics,other,1,4.0,6,0,81,0
E2741,Procurement,other,1,3.0,4,0,70,0
E36249,Operations,other,1,1.0,2,0,58,0
E53764,Procurement,other,1,2.0,12,0,70,0
E12775,Operations,sourcing,1,5.0,9,0,66,0
E59394,Analytics,other,2,2.0,3,0,88,0
E26467,Procurement,other,1,5.0,7,0,67,0
E20758,Sales & Marketing,sourcing,1,3.0,2,0,53,0
E9449,Operations,sourcing,1,3.0,6,0,55,0
E10270,Technology,other,1,1.0,3,0,79,0
E48376,Technology,referred,2,4.0,2,0,77,0
E24080,R&D,sourcing,1,4.0,4,0,92,0
E59097,Operations,sourcing,1,4.0,9,0,61,0
E64685,HR,sourcing,1,3.0,6,0,45,0
E8426,Sales & Marketing,sourcing,1,5.0,3,0,46,0
E57595,Sales & Marketing,sourcing,1,3.0,6,0,44,0
E60322,Legal,sourcing,1,5.0,7,0,63,0
E3828,Technology,sourcing,1,3.0,6,0,79,0
E57645,Operations,other,1,3.0,6,0,59,0
E70116,Sales & Marketing,other,1,5.0,10,0,46,0
E14715,Technology,sourcing,2,5.0,2,0,83,0
E8661,Operations,sourcing,2,3.0,4,0,60,0
E32961,Operations,other,1,4.0,16,0,58,0
E40659,Sales & Marketing,sourcing,1,5.0,11,0,51,1
E46925,Operations,other,1,4.0,6,0,59,0
E62693,Procurement,sourcing,3,3.0,4,0,71,0
E61235,Sales & Marketing,other,2,3.0,9,0,50,0
E73864,Operations,other,1,3.0,6,0,60,0
E72588,Sales & Marketing,other,1,5.0,2,0,51,0
E66321,Sales & Marketing,other,1,3.0,2,0,49,1
E5946,Analytics,other,2,4.0,4,0,85,0
E14536,Sales & Marketing,other,1,3.0,3,0,49,0
E75606,Technology,sourcing,1,4.0,2,0,80,0
E16052,Sales & Marketing,referred,1,2.0,5,0,49,0
E17057,Analytics,sourcing,2,,1,0,85,0
E68034,Technology,sourcing,1,,1,0,77,0
E35522,Analytics,sourcing,3,5.0,3,0,83,0
E32797,Procurement,other,1,5.0,5,0,72,0
E37761,Sales & Marketing,other,1,4.0,2,0,49,0
E50498,Operations,sourcing,2,5.0,10,0,61,0
E50943,Analytics,other,1,3.0,6,0,88,0
E9733,Sales & Marketing,other,1,3.0,2,0,52,0
E7839,Technology,sourcing,1,3.0,6,0,78,0
E55831,Finance,other,1,5.0,2,0,61,0
E74757,Legal,other,1,4.0,7,0,59,0
E33109,Operations,other,1,2.0,13,0,60,0
E4916,Procurement,other,1,5.0,6,0,70,0
E58580,Operations,sourcing,1,3.0,2,0,62,0
E59481,Sales & Marketing,other,2,2.0,10,0,48,0
E77447,Sales & Marketing,other,2,5.0,2,0,49,0
E35451,Sales & Marketing,other,1,3.0,4,0,50,0
E59862,Procurement,other,1,3.0,5,0,67,0
E67901,Sales & Marketing,other,1,5.0,2,0,56,0
E31415,Finance,sourcing,1,3.0,2,0,58,0
E37358,HR,sourcing,1,4.0,3,0,48,0
E65256,Procurement,sourcing,1,4.0,3,0,84,1
E4295,Operations,sourcing,1,4.0,10,0,57,0
E47046,Sales & Marketing,other,1,4.0,7,0,54,0
E5164,Analytics,sourcing,1,4.0,10,0,87,0
E45129,Procurement,other,1,3.0,4,0,73,0
E43255,Procurement,other,3,2.0,2,0,70,0
E4109,Sales & Marketing,other,1,2.0,4,0,50,0
E23622,Operations,sourcing,2,5.0,5,0,57,0
E71330,Sales & Marketing,other,1,3.0,6,0,47,0
E28300,Technology,sourcing,1,5.0,5,0,80,1
E35573,Analytics,sourcing,1,,1,0,84,1
E67076,Sales & Marketing,other,1,3.0,11,0,50,0
E5283,Operations,other,1,4.0,3,0,59,0
E11943,Technology,referred,1,,1,0,76,0
E11044,Operations,other,1,1.0,5,0,62,0
E7104,Procurement,sourcing,1,3.0,12,0,68,0
E13818,Sales & Marketing,other,1,3.0,22,0,48,0
E69734,Sales & Marketing,sourcing,1,3.0,7,0,46,0
E23320,Sales & Marketing,other,1,3.0,6,0,51,0
E38105,Operations,sourcing,2,5.0,5,0,64,0
E74082,Operations,sourcing,1,3.0,9,0,59,0
E64137,Sales & Marketing,sourcing,1,5.0,6,0,52,0
E48951,Operations,sourcing,1,3.0,10,0,58,0
E22728,Legal,other,1,3.0,4,0,61,0
E59089,Procurement,other,1,3.0,4,0,68,0
E40175,Procurement,sourcing,1,5.0,2,0,67,0
E28273,Sales & Marketing,other,2,3.0,4,0,53,0
E17798,Sales & Marketing,other,2,3.0,3,0,54,0
E13642,Technology,other,1,1.0,10,0,77,0
E54461,Operations,other,1,3.0,9,0,59,0
E35840,Analytics,other,1,4.0,7,0,86,0
E36464,Sales & Marketing,sourcing,1,1.0,5,0,48,0
E40010,Analytics,other,1,4.0,6,0,89,0
E10385,Technology,sourcing,1,1.0,4,0,87,0
E40342,Operations,sourcing,1,3.0,17,0,64,0
E3577,Technology,sourcing,1,4.0,7,0,78,0
E1098,Procurement,sourcing,1,5.0,6,0,72,0
E29128,Operations,sourcing,1,4.0,9,0,57,0
E38306,Operations,other,2,1.0,2,0,60,0
E33035,Technology,other,1,4.0,4,0,80,0
E59560,Technology,other,1,1.0,2,0,81,0
E77988,Sales & Marketing,sourcing,2,4.0,4,0,50,0
E46015,Analytics,sourcing,1,5.0,2,0,87,0
E22191,Operations,other,2,4.0,2,0,58,0
E10887,Technology,other,2,1.0,6,0,83,0
E52236,Sales & Marketing,sourcing,2,3.0,8,0,53,0
E28663,Sales & Marketing,other,2,1.0,3,0,53,0
E27914,Procurement,other,1,5.0,12,0,68,0
E16957,Operations,other,1,5.0,4,0,63,0
E40375,Procurement,sourcing,1,3.0,7,0,72,0
E27414,Operations,other,1,3.0,5,0,63,0
E69968,Sales & Marketing,sourcing,1,1.0,9,0,50,0
E9084,Sales & Marketing,other,1,3.0,5,0,53,0
E51488,Operations,other,1,4.0,7,0,61,0
E20552,Analytics,other,1,4.0,6,0,89,0
E25806,Operations,other,1,3.0,7,0,58,0
E71974,Operations,other,1,3.0,5,0,62,0
E50429,Sales & Marketing,sourcing,1,5.0,10,0,50,0
E61473,Technology,sourcing,1,3.0,5,0,79,0
E4146,Technology,other,2,3.0,4,0,80,1
E74492,Analytics,sourcing,1,5.0,2,0,92,0
E73015,Legal,other,1,4.0,15,0,58,0
E39176,Technology,other,1,3.0,6,0,93,1
E39148,Technology,other,2,3.0,9,0,82,0
E4602,Technology,other,1,2.0,7,0,81,0
E47366,Sales & Marketing,other,1,4.0,3,0,51,0
E38567,Sales & Marketing,sourcing,1,,1,0,49,0
E16714,Finance,sourcing,1,3.0,6,0,60,0
E20045,Analytics,other,1,2.0,5,0,85,0
E68902,HR,other,1,3.0,3,1,50,0
E22299,Operations,sourcing,2,5.0,5,0,61,0
E52786,Operations,other,1,4.0,7,0,57,0
E54112,Sales & Marketing,sourcing,1,5.0,8,0,46,0
E35744,Sales & Marketing,other,1,4.0,3,0,64,1
E76485,Operations,sourcing,1,4.0,2,0,58,0
E65974,Sales & Marketing,sourcing,1,2.0,5,0,49,0
E18651,Legal,other,1,5.0,2,0,59,0
E58852,Sales & Marketing,sourcing,1,1.0,3,0,49,0
E62262,Sales & Marketing,other,1,3.0,6,0,51,0
E39621,Sales & Marketing,other,1,1.0,3,0,53,0
E48706,Operations,sourcing,1,1.0,2,0,62,0
E78097,Sales & Marketing,other,1,5.0,6,1,45,0
E21317,Sales & Marketing,other,1,5.0,2,0,48,0
E71395,Sales & Marketing,other,1,4.0,2,0,48,1
E9414,HR,other,1,3.0,3,0,54,0
E31180,Analytics,other,2,,1,0,86,0
E20039,Operations,sourcing,1,3.0,7,0,62,0
E8079,Technology,other,2,3.0,4,0,75,0
E25163,Operations,other,2,4.0,7,0,61,0
E66761,Analytics,other,1,5.0,9,0,88,0
E57979,Technology,sourcing,1,3.0,5,0,82,0
E73211,R&D,other,1,1.0,4,0,86,0
E53515,Sales & Marketing,other,1,2.0,7,0,54,0
E34015,Sales & Marketing,other,1,3.0,6,0,55,0
E74480,Analytics,sourcing,1,3.0,3,0,87,0
E33526,Operations,sourcing,1,5.0,10,0,60,0
E40631,Sales & Marketing,sourcing,1,5.0,12,0,50,1
E34528,Procurement,sourcing,2,,1,0,69,0
E6416,Sales & Marketing,sourcing,1,5.0,2,0,47,0
E67552,HR,other,1,5.0,15,0,49,0
E40324,Operations,sourcing,1,5.0,3,0,55,0
E44218,Sales & Marketing,other,2,1.0,12,0,50,0
E72294,Procurement,other,1,5.0,16,0,73,0
E74759,Sales & Marketing,sourcing,1,,1,0,44,0
E37908,Operations,other,1,5.0,10,0,61,0
E6991,Sales & Marketing,other,1,1.0,5,0,46,0
E22170,HR,sourcing,1,5.0,10,0,45,0
E44814,Operations,sourcing,1,3.0,6,0,61,0
E60336,Operations,sourcing,1,4.0,9,0,57,0
E25068,Sales & Marketing,sourcing,1,1.0,8,0,48,0
E19839,Technology,referred,1,5.0,7,0,79,0
E43941,Operations,other,1,4.0,8,0,60,0
E36979,Sales & Marketing,other,1,1.0,11,0,50,0
E33720,Analytics,other,2,3.0,6,0,88,0
E75221,Procurement,other,2,1.0,4,0,71,0
E64250,Sales & Marketing,other,2,1.0,6,0,48,0
E34718,Procurement,sourcing,1,3.0,5,0,69,0
E21028,Sales & Marketing,other,1,1.0,7,0,48,0
E69658,Operations,other,2,5.0,9,0,59,0
E58623,Procurement,other,1,3.0,4,0,71,0
E30732,Analytics,sourcing,1,3.0,3,0,88,0
E69022,Technology,other,2,3.0,4,0,79,0
E73508,Technology,sourcing,1,3.0,24,0,75,0
E46603,Operations,other,3,3.0,7,0,55,0
E9517,Analytics,sourcing,1,,1,0,85,0
E56295,Finance,other,2,4.0,2,0,63,0
E66025,Technology,sourcing,2,3.0,3,0,81,0
E26326,Analytics,sourcing,1,5.0,7,0,87,0
E75022,Sales & Marketing,other,1,1.0,5,0,48,0
E74721,Technology,other,1,4.0,2,0,79,0
E39867,Procurement,sourcing,1,2.0,1,0,73,0
E32215,Sales & Marketing,sourcing,1,5.0,4,0,47,0
E25635,Operations,other,1,5.0,9,0,56,0
E76161,Operations,sourcing,1,4.0,15,0,60,0
E42627,Sales & Marketing,sourcing,1,4.0,3,0,44,0
E47965,Sales & Marketing,other,1,2.0,7,0,49,0
E24514,Technology,other,4,1.0,2,0,80,0
E24760,R&D,other,2,3.0,3,0,84,0
E38329,Analytics,other,1,3.0,2,0,83,0
E73026,Technology,sourcing,1,1.0,3,0,76,0
E69528,Analytics,other,2,4.0,2,0,87,1
E25923,Operations,sourcing,1,3.0,6,0,60,0
E23060,Operations,sourcing,1,5.0,2,0,61,0
E68857,Operations,other,1,4.0,5,0,57,0
E74116,Sales & Marketing,other,1,5.0,3,0,50,0
E68858,Analytics,sourcing,1,,1,0,82,0
E31114,Procurement,other,2,5.0,7,0,69,0
E67836,R&D,sourcing,1,3.0,5,0,86,0
E57493,Technology,sourcing,2,3.0,13,0,76,0
E41953,Technology,other,1,3.0,21,0,79,0
E55854,Technology,sourcing,1,4.0,4,0,82,0
E35301,Legal,other,1,5.0,1,0,58,0
E63338,Analytics,other,1,5.0,7,0,85,0
E8896,Procurement,sourcing,1,5.0,2,1,68,1
E21304,Technology,other,1,5.0,14,1,85,1
E49957,Operations,other,1,2.0,10,0,59,0
E49214,Procurement,sourcing,1,,1,0,71,0
E76729,Technology,sourcing,1,3.0,3,0,79,0
E30938,Operations,sourcing,2,3.0,5,0,60,0
E67036,Sales & Marketing,other,1,5.0,6,0,44,0
E51409,Procurement,other,1,2.0,3,0,72,0
E71022,Procurement,other,1,2.0,6,0,65,0
E31628,Operations,sourcing,1,5.0,4,0,60,0
E36763,Sales & Marketing,other,1,1.0,6,0,48,0
E72540,Sales & Marketing,other,1,3.0,7,0,45,0
E49368,Procurement,sourcing,1,4.0,9,0,69,1
E51943,Technology,other,1,4.0,3,0,79,1
E76298,Sales & Marketing,other,1,3.0,4,0,51,0
E22940,Sales & Marketing,sourcing,1,5.0,3,0,53,0
E42343,Sales & Marketing,other,1,5.0,8,0,47,0
E3804,R&D,sourcing,1,3.0,7,0,80,0
E72496,Procurement,other,1,5.0,2,0,69,0
E20257,Procurement,sourcing,1,4.0,8,0,68,0
E42212,Operations,other,2,4.0,4,0,60,0
