employee_id,region,education,gender,age
E39971,region_24,Bachelor's,f,30
E451,region_13,Bachelors,M,30
E21581,region_11,Bachelor's,m,42
E5530,region_7,Bachelor's,m,28
E34416,region_15,Bachelor's,m,38
E67219,region_22,Bachelor's,m,26
E25523,region_2,Bachelor's,m,26
E13020,region_33,Master's & above,m,53
E40648,region_31,Master's & above,f,35
E61430,region_5,Bachelor's,f,31
E23728,region_13,Bachelor's,m,38
E19473,region_12,Bachelor's,m,36
E44707,region_4,Bachelor's,f,36
E50472,region_19,Bachelor's,m,46
E72827,region_7,Bachelor's,f,31
E55274,region_22,Bachelor's,f,34
E39304,region_2,Master's & above,m,40
E2538,region_2,Bachelor's,m,54
E23292,region_13,Bachelor's,f,25
E54312,region_2,Master's & above,m,34
E68196,region_2,Below Secondary,m,20
E75812,region_28,Bachelor's,m,27
E55379,region_1,Bachelor's,m,36
E68820,region_2,Bachelor's,f,30
E30230,region_7,Master's & above,male,39
E72479,region_33,Bachelor's,m,33
E14643,region_13,,male,40
E37093,region_5,Bachelor's,m,31
E7829,region_13,Bachelor's,m,34
E13034,region_20,Master's & above,m,36
E51771,region_17,Bachelor's,m,42
E68241,region_4,Bachelor's,f,46
E18035,region_33,Bachelor's,m,31
E44089,region_25,Bachelor's,m,34
E32800,region_19,Master's & above,m,50
E75846,region_2,Bachelor's,f,26
E67129,region_20,Master's & above,m,41
E48720,region_19,Bachelor's,Male,34
E24695,region_5,Bachelor's,male,25
E37444,region_2,Bachelor's,m,40
E20317,region_2,Bachelor's,f,30
E68366,region_11,Master's & above,m,39
E35003,region_22,Bachelor's,m,28
E36695,region_2,Bachelor's,m,59
E31341,region_23,Bachelor's,m,31
E18639,region_1,,m,27
E25508,region_2,Bachelor's,f,35
E74832,region_2,Master's & above,m,44
E16568,region_8,Bachelor's,m,33
E12367,region_7,Bachelor's,m,30
E1103,region_11,,Male,30
E68041,region_28,Bachelor's,m,34
E2741,region_7,Master's & above,m,37
E36249,region_32,,m,28
E53764,region_2,Bachelor's,f,37
E12775,region_7,Master's & above,m,36
E59394,region_2,,m,24
E26467,region_19,Bachelor's,m,32
E20758,region_11,Bachelor's,m,25
E9449,region_2,Bachelor's,m,40
E10270,region_25,Bachelor's,m,30
E48376,region_22,Bachelor's,f,26
E24080,region_22,Master's & above,m,34
E59097,region_7,Bachelor's,m,36
E64685,region_2,Master's & above,f,45
E8426,region_16,Bachelor's,m,37
E57595,region_4,Bachelor's,m,46
E60322,region_22,Bachelor's,m,34
E3828,region_22,Bachelor's,m,30
E57645,region_2,Master's & above,f,59
E70116,region_28,Bachelor's,m,41
E14715,region_7,Bachelor's,m,29
E8661,region_7,Master's & above,f,32
E32961,region_22,Bachelor's,m,54
E40659,region_2,Bachelor's,m,41
E46925,region_9,Master's & above,f,36
E62693,region_22,Bachelor's,f,27
E61235,region_2,Bachelor's,m,41
E73864,region_26,Bachelor's,m,31
E72588,region_33,Bachelor's,m,30
E66321,region_13,Bachelor's,m,44
E5946,region_25,Bachelor's,m,31
E14536,region_4,Bachelor's,m,28
E75606,region_13,Master's & above,m,35
E16052,region_13,Bachelor's,m,30
E17057,region_1,Bachelor's,m,29
E68034,region_31,Bachelor's,m,23
E35522,region_14,Bachelor's,m,30
E32797,region_7,Bachelor's,f,27
E37761,region_2,,Male,26
E50498,region_7,Bachelor's,f,33
E50943,region_31,Bachelor's,m,29
E9733,region_22,,m,20
E7839,region_7,Bachelor's,m,38
E55831,region_26,Bachelor's,m,25
E74757,region_15,Bachelor's,m,34
E33109,region_2,Master's & above,m,41
E4916,region_22,Master's & above,Male,43
E58580,region_29,Bachelor's,m,34
E59481,region_2,Bachelor's,m,53
E77447,region_28,Master's & above,m,33
E35451,region_7,Bachelor's,m,33
E59862,region_23,Bachelor's,f,30
E67901,region_25,Bachelor's,f,30
E31415,region_27,Bachelor's,f,28
E37358,region_20,Master's & above,f,35
E65256,region_31,Bachelor's,f,28
E4295,region_27,Bachelor's,f,36
E47046,region_1,Master's & above,M,33
E5164,region_32,Bachelor's,m,36
E45129,region_7,Bachelor's,f,31
E43255,region_2,Bachelor's,m,27
E4109,region_32,Bachelor's,m,27
E23622,region_7,Bachelor's,m,33
E71330,region_1,Master's & above,m,31
E28300,region_31,Bachelor's,m,31
E35573,region_11,Bachelor's,m,29
E67076,region_28,Master's & above,m,44
E5283,region_2,Bachelor's,m,27
E11943,region_27,Bachelor's,f,30
E11044,region_32,Bachelor's,m,31
E7104,region_31,Bachelor's,m,37
E13818,region_4,Master's & above,m,46
E69734,region_15,,f,32
E23320,region_7,Bachelor's,f,30
E38105,region_19,Bachelor's,m,43
E74082,region_29,Bachelor's,f,36
E64137,region_11,Bachelor's,m,37
E48951,region_11,Master's & above,m,36
E22728,region_17,Bachelor's,m,28
E59089,region_11,Master's & above,m,37
E40175,region_14,Bachelor's,f,27
E28273,region_2,Bachelor's,m,28
E17798,region_29,Bachelor's,male,27
E13642,region_26,Master's & above,f,38
E54461,region_15,Bachelor's,m,37
E35840,region_22,Master's & above,m,38
E36464,region_7,Bachelor's,m,33
E40010,region_15,Bachelor's,m,33
E10385,region_7,Master's & above,f,39
E40342,region_4,Master's & above,f,46
E3577,region_2,Bachelor's,m,52
E1098,region_23,Master's & above,M,41
E29128,region_20,Bachelor's,f,39
E38306,region_22,Master's & above,m,34
E33035,region_13,Bachelor's,f,32
E59560,region_7,Below Secondary,m,24
E77988,region_9,Bachelor's,m,27
E46015,region_28,Master's & above,m,31
E22191,region_15,Bachelor's,m,39
E10887,region_20,Master's & above,m,38
E52236,region_16,Master's & above,f,34
E28663,region_24,Bachelor's,f,31
E27914,region_15,Bachelor's,f,42
E16957,region_14,Bachelor's,m,32
E40375,region_2,Bachelor's,m,54
E27414,region_26,Master's & above,m,32
E69968,region_8,Bachelor's,m,36
E9084,region_33,Bachelor's,m,36
E51488,region_16,Master's & above,m,39
E20552,region_22,,m,29
E25806,region_16,Master's & above,f,37
E71974,region_6,Bachelor's,f,33
E50429,region_3,Bachelor's,m,33
E61473,region_13,Bachelor's,f,33
E4146,region_21,Bachelor's,m,32
E74492,region_28,Bachelor's,m,29
E73015,region_2,Bachelor's,m,43
E39176,region_7,Master's & above,f,41
E39148,region_26,Bachelor's,f,34
E4602,region_7,Master's & above,f,34
E47366,region_5,Master's & above,m,39
E38567,region_28,,m,30
E16714,region_2,Bachelor's,m,31
E20045,region_25,Master's & above,m,32
E68902,region_25,Bachelor's,f,28
E22299,region_16,Bachelor's,m,45
E52786,region_2,Bachelor's,m,52
E54112,region_2,Master's & above,f,37
E35744,region_28,,m,25
E76485,region_22,Bachelor's,m,28
E65974,region_22,Master's & above,m,37
E18651,region_22,Below Secondary,m,25
E58852,region_32,,m,26
E62262,region_29,Bachelor's,m,29
E39621,region_2,,m,25
E48706,region_24,Undergraduate,male,29
E78097,region_3,Bachelor's,m,32
E21317,region_3,Bachelor's,m,26
E71395,region_23,Master's & above,m,36
E9414,region_20,Bachelor's,M,29
E31180,region_22,Bachelor's,m,27
E20039,region_15,Bachelor's,f,48
E8079,region_31,Bachelor's,m,30
E25163,region_27,Bachelor's,f,31
E66761,region_7,Master's & above,m,34
E57979,region_4,Bachelor's,m,28
E73211,region_29,Bachelor's,m,33
E53515,region_7,Bachelor's,f,30
E34015,region_27,Bachelor's,m,37
E74480,region_31,Bachelor's,m,26
E33526,region_22,Bachelor's,f,37
E40631,region_22,Master's & above,m,38
E34528,region_13,Bachelor's,f,28
E6416,region_22,Bachelor's,f,29
E67552,region_2,Master's & above,m,58
E40324,region_5,Bachelor's,m,28
E44218,region_27,Bachelor's,m,43
E72294,region_2,Master's & above,f,44
E74759,region_4,Bachelor's,m,26
E37908,region_32,Master's & above,f,38
E6991,region_22,,m,43
E22170,region_2,,m,36
E44814,region_26,Bachelor's,m,32
E60336,region_2,Bachelor's,m,44
E25068,region_25,Master's & above,m,40
E19839,region_2,Bachelor's,m,30
E43941,region_11,Bachelor's,m,40
E36979,region_7,Bachelor's,m,55
E33720,region_22,Master's & above,m,44
E75221,region_13,Bachelor's,m,32
E64250,region_4,Master's & above,m,33
E34718,region_30,Bachelor's,f,35
E21028,region_16,Bachelor's,m,32
E69658,region_11,Bachelor's,m,34
E58623,region_30,Bachelor's,m,28
E30732,region_34,Bachelor's,m,31
E69022,region_22,Master's & above,m,30
E73508,region_2,Master's & above,f,54
E46603,region_9,Bachelor's,m,36
E9517,region_5,Bachelor's,m,27
E56295,region_7,Bachelor's,m,30
E66025,region_27,Master's & above,m,40
E26326,region_29,Bachelor's,m,33
E75022,region_32,Bachelor's,f,29
E74721,region_27,Bachelor's,f,28
E39867,region_6,Bachelor's,f,25
E32215,region_16,Bachelors,Male,30
E25635,region_13,Master's & above,f,49
E76161,region_2,Bachelor's,f,45
E42627,region_2,Bachelor's,m,52
E47965,region_33,Master's & above,m,34
E24514,region_22,Bachelor's,m,29
E24760,region_7,Master's & above,m,36
E38329,region_22,Bachelor's,f,27
E73026,region_2,Bachelor's,m,57
E69528,region_22,Bachelor's,m,29
E25923,region_2,Master's & above,m,35
E23060,region_8,Master's & above,m,40
E68857,region_34,Bachelor's,m,29
E74116,region_26,,m,25
E68858,region_8,Bachelor's,m,26
E31114,region_13,Bachelor's,Female,28
E67836,region_32,Bachelor's,m,34
E57493,region_2,Master's & above,f,40
E41953,region_5,Master's & above,m,49
E55854,region_2,Master's & above,m,42
E35301,region_22,Below Secondary,m,24
E63338,region_11,Bachelor's,m,29
E8896,region_4,Master's & above,f,33
E21304,region_27,Master's & above,m,40
E49957,region_2,Bachelor's,m,37
E49214,region_2,Bachelor's,f,29
E76729,region_14,Bachelor's,m,38
E30938,region_13,Bachelor's,f,35
E67036,region_26,Bachelor's,m,31
E51409,region_5,Bachelor's,m,25
E71022,region_15,Bachelor's,m,31
E31628,region_20,Master's & above,m,32
E36763,region_3,Bachelor's,m,30
E72540,region_14,,m,36
E49368,region_26,Master's & above,f,41
E51943,region_2,Bachelor's,f,34
E76298,region_7,Bachelor's,m,27
E22940,region_2,Bachelor's,m,46
E42343,region_19,Bachelor's,m,33
E3804,region_11,Bachelor's,m,32
E72496,region_4,Bachelor's,f,30
E20257,region_2,Bachelor's,f,35
E42212,region_2,Bachelor's,m,30
E26812,region_13,Bachelor's,m,44
E56791,region_22,Bachelor's,m,24
E62913,region_29,Master's & above,f,34
E44260,region_22,Bachelor's,m,31
E33970,region_13,Bachelor's,m,40
E38133,region_4,Master's & above,f,41
E77176,region_2,Bachelor's,f,37
E14090,region_2,,f,32
E25899,region_2,,f,35
E74115,region_15,Master's & above,f,42
E72845,region_28,Master's & above,m,30
E76018,region_15,Bachelor's,m,32
E32606,region_27,,m,27
E5772,region_13,Master's & above,m,47
E55426,region_2,Master's & above,f,34
E21202,region_28,Master's & above,m,31
E49746,region_19,Master's & above,m,41
E19953,region_2,Bachelor's,m,42
E45858,region_7,,m,25
E18727,region_15,Bachelor's,m,26
E66968,region_32,Bachelor's,m,30
E58355,region_22,Bachelor's,m,26
E33189,region_2,Bachelor's,m,30
E2186,region_27,Master's & above,m,36
E16761,region_22,Master's & above,m,30
E76850,region_19,Bachelor's,m,41
E47429,region_4,Bachelor's,m,29
E29592,region_2,,f,55
E39988,region_6,Bachelor's,m,30
E13947,region_2,Master's & above,m,37
E26150,region_15,Bachelor's,m,42
E44268,region_22,Bachelor's,m,27
E41644,region_30,Bachelor's,f,29
E25768,region_23,Bachelor's,m,35
E74164,region_7,Bachelor's,m,35
E42491,region_14,Bachelor's,m,34
E41536,region_28,Bachelor's,f,28
E43252,region_2,Bachelor's,m,45
E62908,region_2,Master's & above,m,40
E66767,region_22,Bachelor's,F,28
E4588,region_31,Bachelor's,m,29
E63407,region_9,Bachelor's,m,28
E14921,region_6,Bachelor's,f,32
E22252,region_17,Bachelor's,m,38
E62577,region_7,Bachelor's,m,32
E37931,region_2,Bachelor's,m,49
E6903,region_2,Bachelor's,m,32
E77335,region_2,Master's & above,m,35
E32346,region_16,Bachelor's,m,34
E6893,region_16,Bachelor's,m,35
E6573,region_31,Bachelor's,m,33
E29466,region_2,,m,21
E21425,region_27,Bachelor's,f,34
E38961,region_9,Bachelor's,m,26
E47724,region_31,Master's & above,m,38
E60757,region_22,Bachelor's,m,31
E8015,region_31,Bachelor's,m,36
E36414,region_14,Master's & above,f,41
E58773,region_7,Bachelor's,m,32
E13743,region_32,Bachelor's,f,36
E40950,region_26,Bachelor's,f,29
E44811,region_7,Bachelor's,m,24
E71586,region_32,Bachelor's,f,37
E72130,region_7,Master's & above,f,40
E47335,region_29,Master's & above,m,32
E16332,region_27,Bachelor's,m,30
E68552,region_2,Below Secondary,m,27
E7061,region_20,Master's & above,f,38
E582,region_29,Bachelor's,f,38
E65065,region_8,Master's & above,f,44
E51568,region_2,Master's & above,m,48
E45784,region_11,Bachelor's,m,34
E40279,region_2,Bachelor's,m,45
E32359,region_4,Bachelor's,f,26
E5072,region_26,Master's & above,m,33
E24002,region_14,Bachelor's,m,32
E38497,region_2,Master's & above,f,40
E34424,region_15,Bachelor's,m,28
E56635,region_10,Master's & above,m,35
E46117,region_7,Master's & above,m,57
E55665,region_22,,m,28
E70365,region_14,Bachelor's,f,37
E14459,region_26,Bachelor's,m,30
E76433,region_2,Bachelor's,f,34
E3073,region_28,Master's & above,Male,45
E47571,region_27,Master's & above,f,47
E38744,region_6,Bachelor's,f,28
E15178,region_10,Master's & above,f,42
E74457,region_4,Bachelor's,m,27
E66644,region_21,Bachelor's,m,27
E34205,region_26,Bachelor's,m,25
E53970,region_22,Bachelor's,f,25
E6625,region_7,Master's & above,m,38
E35463,region_27,Bachelor's,f,26
E9197,region_22,Bachelor's,f,28
E12378,region_7,Master's & above,f,43
E32097,region_31,Master's & above,m,35
E2019,region_31,Bachelor's,M,26
E23003,region_14,Bachelors,Female,38
E54172,region_27,Bachelor's,m,35
E57345,region_7,Master's & above,m,40
E70791,region_22,Bachelor's,m,30
E1633,region_13,Master's & above,f,30
E48731,region_22,Bachelor's,f,37
E40858,region_22,Master's & above,m,55
E14598,region_2,Bachelor's,m,25
E35106,region_22,Bachelor's,M,27
E1006,region_26,Bachelor's,m,46
E70714,region_26,Bachelor's,f,40
E68093,region_2,Master's & above,f,50
E58232,region_2,Master's & above,m,31
E1990,region_15,Master's & above,m,35
E14742,region_3,Master's & above,m,45
E54333,region_7,Master's & above,f,33
E72897,region_23,Bachelor's,m,26
E7820,region_2,Masters,M,40
E109,region_27,,m,28
E53484,region_13,Bachelor's,m,33
E7878,region_7,Bachelor's,m,36
E67547,region_22,Bachelor's,m,29
E35990,region_2,,f,38
E72725,region_14,Master's & above,m,34
E11735,region_11,Master's & above,m,44
E35095,region_22,Bachelor's,m,32
E26301,region_15,,m,34
E8513,region_2,Postgraduate & higher,male,60
E61690,region_31,Bachelor's,m,31
E17040,region_2,Bachelor's,m,31
E42020,region_15,Bachelor's,m,33
E18761,region_31,Bachelor's,m,28
E57109,region_2,Bachelor's,m,56
E72126,region_31,Master's & above,m,36
E24184,region_13,Master's & above,m,43
E60116,region_22,Bachelor's,m,29
E8627,region_28,Master's & above,f,32
E65283,region_22,Bachelor's,m,39
E25996,region_28,Bachelor's,m,28
E2006,region_7,Master's & above,f,34
E48091,region_2,Master's & above,f,37
E5088,region_8,Bachelor's,m,39
E24676,region_22,Bachelor's,m,27
E2762,region_8,Bachelor's,f,28
E56970,region_25,Bachelor's,m,28
E58056,region_4,Bachelor's,m,32
E53539,region_2,Bachelor's,m,36
E68372,region_19,Bachelor's,m,39
E52366,region_7,Master's & above,m,43
E39733,region_10,Master's & above,m,43
E3913,region_27,Bachelor's,m,36
E73258,region_15,Bachelor's,f,33
E4557,region_10,Bachelor's,f,31
E76106,region_28,Master's & above,f,35
E12532,region_26,Bachelor's,m,30
E52645,region_2,Bachelor's,m,36
E34958,region_2,Bachelor's,m,25
E56820,region_2,Below Secondary,f,24
E7693,region_15,Bachelor's,m,34
E61046,region_13,Bachelor's,m,33
E61529,region_2,Bachelor's,m,28
E40660,region_30,Master's & above,f,39
E21677,region_22,Bachelor's,m,34
E18378,region_2,Bachelor's,f,52
E24720,region_31,Master's & above,m,37
E8021,region_5,Bachelor's,m,31
E27501,region_10,Master's & above,m,37
E44064,region_11,Master's & above,m,40
E51315,region_13,Bachelor's,m,25
E76182,region_13,Bachelor's,m,33
E30352,region_2,Bachelor's,f,33
E45541,region_3,Bachelor's,m,31
E15381,region_26,Bachelor's,m,29
E34832,region_31,Bachelor's,m,40
E74411,region_14,Bachelor's,M,35
E73232,region_7,Master's & above,m,36
E402,region_16,Bachelor's,f,35
E73263,region_22,Bachelor's,m,31
E37074,region_7,Bachelor's,m,31
E64487,region_7,Bachelor's,m,37
E54693,region_4,Master's & above,m,37
E20444,region_26,Bachelor's,f,25
E35558,region_2,Bachelor's,f,30
E49065,region_7,Bachelor's,f,31
E22264,region_31,Bachelor's,m,28
E28319,region_26,Master's & above,m,56
E108,region_15,Bachelor's,m,31
E25379,region_2,Bachelor's,m,26
E1611,region_13,Bachelor's,m,41
E8151,region_14,Bachelor's,m,28
E55771,region_23,Master's & above,m,42
E64233,region_2,Bachelor's,f,43
E67724,region_8,Master's & above,f,34
E37304,region_13,Master's & above,f,32
E69095,region_22,Bachelor's,m,30
E5015,region_10,Master's & above,m,36
E10258,region_11,Master's & above,m,39
E46394,region_26,Master's & above,m,32
E69642,region_11,Bachelor's,m,33
E2304,region_20,Bachelor's,Male,30
E25629,region_11,Bachelor's,m,36
E48771,region_22,Master's & above,m,32
E40177,region_2,Bachelor's,m,34
E19210,region_15,Master's & above,F,41
E38499,region_11,Master's & above,m,45
E9619,region_10,Master's & above,m,36
E70508,region_2,Bachelor's,f,33
E59927,region_15,Bachelor's,m,29
E26786,region_2,Master's & above,f,44
E44817,region_27,Bachelor's,m,33
E53668,region_4,Bachelor's,f,35
E15990,region_22,Bachelor's,m,27
E21051,region_2,Master's & above,m,44
E9306,region_2,Bachelor's,m,34
E62554,region_2,Master's & above,m,50
E3919,region_22,Master's & above,m,32
E61336,region_2,Bachelor's,f,42
E29810,region_14,Bachelor's,m,35
E77196,region_2,Master's & above,f,42
E45681,region_2,Bachelor's,m,57
E35516,region_6,Bachelor's,f,34
E26972,region_20,Master's & above,m,36
E9271,region_14,Bachelor's,m,34
E3111,region_2,Bachelor's,m,30
E33398,region_17,Bachelor's,f,33
E74580,region_28,Bachelor's,f,30
E76319,region_7,Bachelor's,m,33
E32901,region_20,Master's & above,m,33
E47456,region_9,Bachelor's,m,31
E46956,region_25,Master's & above,m,35
E37635,region_7,Master's & above,m,31
E21611,region_24,Bachelor's,m,27
E41004,region_2,Bachelor's,m,29
E5927,region_6,Bachelor's,m,26
E3829,region_31,Bachelor's,m,31
E34642,region_2,,m,23
E66512,region_23,Bachelor's,m,32
E41093,region_22,Master's & above,m,39
E21476,region_1,Master's & above,m,39
