,energy_demand,Datetime
177,8.3,2019-01-11 19:30:00 
178,13.7,2019-01-11 19:45:00 
179,16.9,2019-01-11 20:00:00 
180,4.2,2019-01-11 20:15:00 
181,9.1,2019-01-11 20:30:00 
182,12.5,2019-01-11 20:45:00 
183,17.7,2019-01-11 21:00:00 
184,3.9,2019-01-11 21:15:00 
185,8.8,2019-01-11 21:30:00 
186,12.5,2019-01-11 21:45:00 
187,18.4,2019-01-11 22:00:00 
188,3.6,2019-01-11 22:15:00 
189,8.6,2019-01-11 22:30:00 
190,14.6,2019-01-11 22:45:00 
191,17.9,2019-01-11 23:00:00 
192,5.1,2019-01-11 23:15:00 
193,10.8,2019-01-11 23:30:00 
194,14.7,2019-01-11 23:45:00 
195,20.0,2019-01-12 00:00:00 
196,5.7,2019-01-12 00:15:00 
197,10.7,2019-01-12 00:30:00 
198,15.0,2019-01-12 00:45:00 
199,20.4,2019-01-12 01:00:00 
200,5.6,2019-01-12 01:15:00 
201,10.6,2019-01-12 01:30:00 
202,15.8,2019-01-12 01:45:00 
203,20.5,2019-01-12 02:00:00 
204,4.8,2019-01-12 02:15:00 
205,10.0,2019-01-12 02:30:00 
206,16.8,2019-01-12 02:45:00 
207,20.1,2019-01-12 03:00:00 
208,5.3,2019-01-12 03:15:00 
209,11.2,2019-01-12 03:30:00 
210,16.6,2019-01-12 03:45:00 
211,21.5,2019-01-12 04:00:00 
212,5.4,2019-01-12 04:15:00 
213,10.0,2019-01-12 04:30:00 
214,14.6,2019-01-12 04:45:00 
215,21.1,2019-01-12 05:00:00 
216,5.0,2019-01-12 05:15:00 
217,9.2,2019-01-12 05:30:00 
218,14.6,2019-01-12 05:45:00 
219,20.4,2019-01-12 06:00:00 
220,5.0,2019-01-12 06:15:00 
221,10.1,2019-01-12 06:30:00 
222,14.6,2019-01-12 06:45:00 
223,19.8,2019-01-12 07:00:00 
224,5.0,2019-01-12 07:15:00 
225,9.6,2019-01-12 07:30:00 
226,14.4,2019-01-12 07:45:00 
227,19.6,2019-01-12 08:00:00 
228,4.0,2019-01-12 08:15:00 
229,9.3,2019-01-12 08:30:00 
230,14.1,2019-01-12 08:45:00 
231,18.3,2019-01-12 09:00:00 
232,5.0,2019-01-12 09:15:00 
233,8.5,2019-01-12 09:30:00 
234,14.3,2019-01-12 09:45:00 
235,18.1,2019-01-12 10:00:00 
236,5.0,2019-01-12 10:15:00 
237,9.0,2019-01-12 10:30:00 
238,14.3,2019-01-12 10:45:00 
239,17.8,2019-01-12 11:00:00 
240,4.7,2019-01-12 11:15:00 
241,9.2,2019-01-12 11:30:00 
242,12.8,2019-01-12 11:45:00 
243,18.1,2019-01-12 12:00:00 
244,3.9,2019-01-12 12:15:00 
245,7.3,2019-01-12 12:30:00 
246,12.6,2019-01-12 12:45:00 
247,16.6,2019-01-12 13:00:00 
248,3.3,2019-01-12 13:15:00 
249,6.9,2019-01-12 13:30:00 
250,10.3,2019-01-12 13:45:00 
251,13.3,2019-01-12 14:00:00 
252,3.5,2019-01-12 14:15:00 
253,6.9,2019-01-12 14:30:00 
254,10.1,2019-01-12 14:45:00 
255,13.5,2019-01-12 15:00:00 
256,3.5,2019-01-12 15:15:00 
257,6.6,2019-01-12 15:30:00 
258,10.0,2019-01-12 15:45:00 
259,13.4,2019-01-12 16:00:00 
260,2.9,2019-01-12 16:15:00 
261,6.3,2019-01-12 16:30:00 
262,9.5,2019-01-12 16:45:00 
263,12.5,2019-01-12 17:00:00 
264,3.6,2019-01-12 17:15:00 
265,6.8,2019-01-12 17:30:00 
266,9.7,2019-01-12 17:45:00 
267,13.3,2019-01-12 18:00:00 
268,3.2,2019-01-12 18:15:00 
269,6.2,2019-01-12 18:30:00 
270,9.8,2019-01-12 18:45:00 
271,12.8,2019-01-12 19:00:00 
272,2.7,2019-01-12 19:15:00 
273,6.4,2019-01-12 19:30:00 
274,9.4,2019-01-12 19:45:00 
275,12.3,2019-01-12 20:00:00 
276,3.6,2019-01-12 20:15:00 
277,6.6,2019-01-12 20:30:00 
278,9.5,2019-01-12 20:45:00 
279,13.1,2019-01-12 21:00:00 
280,3.0,2019-01-12 21:15:00 
281,6.0,2019-01-12 21:30:00 
282,9.5,2019-01-12 21:45:00 
283,12.9,2019-01-12 22:00:00 
284,2.8,2019-01-12 22:15:00 
285,8.8,2019-01-12 22:30:00 
286,12.7,2019-01-12 22:45:00 
287,15.9,2019-01-12 23:00:00 
288,4.0,2019-01-12 23:15:00 
289,9.1,2019-01-12 23:30:00 
290,12.7,2019-01-12 23:45:00 
291,17.9,2019-01-13 00:00:00 
292,4.0,2019-01-13 00:15:00 
293,9.1,2019-01-13 00:30:00 
294,12.8,2019-01-13 00:45:00 
295,18.3,2019-01-13 01:00:00 
296,3.6,2019-01-13 01:15:00 
297,9.0,2019-01-13 01:30:00 
298,13.7,2019-01-13 01:45:00 
299,18.5,2019-01-13 02:00:00 
300,5.5,2019-01-13 02:15:00 
301,9.8,2019-01-13 02:30:00 
302,15.1,2019-01-13 02:45:00 
303,21.5,2019-01-13 03:00:00 
304,3.9,2019-01-13 03:15:00 
305,9.5,2019-01-13 03:30:00 
306,15.0,2019-01-13 03:45:00 
307,20.0,2019-01-13 04:00:00 
308,5.7,2019-01-13 04:15:00 
309,10.3,2019-01-13 04:30:00 
310,16.0,2019-01-13 04:45:00 
311,22.0,2019-01-13 05:00:00 
312,4.3,2019-01-13 05:15:00 
313,10.3,2019-01-13 05:30:00 
314,16.0,2019-01-13 05:45:00 
315,20.5,2019-01-13 06:00:00 
316,6.3,2019-01-13 06:15:00 
317,11.2,2019-01-13 06:30:00 
318,16.2,2019-01-13 06:45:00 
319,22.8,2019-01-13 07:00:00 
320,4.0,2019-01-13 07:15:00 
321,9.5,2019-01-13 07:30:00 
322,16.2,2019-01-13 07:45:00 
323,19.7,2019-01-13 08:00:00 
324,5.9,2019-01-13 08:15:00 
325,11.1,2019-01-13 08:30:00 
326,16.4,2019-01-13 08:45:00 
327,21.9,2019-01-13 09:00:00 
328,5.1,2019-01-13 09:15:00 
329,9.5,2019-01-13 09:30:00 
330,15.6,2019-01-13 09:45:00 
331,19.4,2019-01-13 10:00:00 
332,5.8,2019-01-13 10:15:00 
333,10.0,2019-01-13 10:30:00 
334,15.2,2019-01-13 10:45:00 
335,19.0,2019-01-13 11:00:00 
336,6.0,2019-01-13 11:15:00 
337,9.9,2019-01-13 11:30:00 
338,14.9,2019-01-13 11:45:00 
339,19.3,2019-01-13 12:00:00 
340,5.5,2019-01-13 12:15:00 
341,8.9,2019-01-13 12:30:00 
342,14.6,2019-01-13 12:45:00 
343,18.2,2019-01-13 13:00:00 
344,5.4,2019-01-13 13:15:00 
345,9.6,2019-01-13 13:30:00 
346,14.5,2019-01-13 13:45:00 
347,18.5,2019-01-13 14:00:00 
348,4.7,2019-01-13 14:15:00 
349,9.1,2019-01-13 14:30:00 
350,12.6,2019-01-13 14:45:00 
351,18.4,2019-01-13 15:00:00 
352,3.7,2019-01-13 15:15:00 
353,8.5,2019-01-13 15:30:00 
354,12.5,2019-01-13 15:45:00 
355,17.5,2019-01-13 16:00:00 
356,3.5,2019-01-13 16:15:00 
357,7.3,2019-01-13 16:30:00 
358,12.5,2019-01-13 16:45:00 
359,16.0,2019-01-13 17:00:00 
360,4.3,2019-01-13 17:15:00 
361,10.5,2019-01-13 17:30:00 
362,15.8,2019-01-13 17:45:00 
363,22.3,2019-01-13 18:00:00 
364,6.1,2019-01-13 18:15:00 
365,12.0,2019-01-13 18:30:00 
366,18.5,2019-01-13 18:45:00 
367,23.9,2019-01-13 19:00:00 
368,6.2,2019-01-13 19:15:00 
369,15.2,2019-01-13 19:30:00 
370,20.8,2019-01-13 19:45:00 
371,28.1,2019-01-13 20:00:00 
372,8.5,2019-01-13 20:15:00 
373,15.5,2019-01-13 20:30:00 
374,22.4,2019-01-13 20:45:00 
375,30.4,2019-01-13 21:00:00 
376,8.1,2019-01-13 21:15:00 
377,17.4,2019-01-13 21:30:00 
378,25.2,2019-01-13 21:45:00 
379,34.6,2019-01-13 22:00:00 
380,8.9,2019-01-13 22:15:00 
381,18.4,2019-01-13 22:30:00 
382,27.5,2019-01-13 22:45:00 
383,37.9,2019-01-13 23:00:00 
384,9.3,2019-01-13 23:15:00 
385,18.5,2019-01-13 23:30:00 
386,29.0,2019-01-13 23:45:00 
387,41.5,2019-01-14 00:00:00 
388,9.6,2019-01-14 00:15:00 
389,19.7,2019-01-14 00:30:00 
390,32.2,2019-01-14 00:45:00 
391,44.8,2019-01-14 01:00:00 
392,12.0,2019-01-14 01:15:00 
393,24.5,2019-01-14 01:30:00 
394,35.6,2019-01-14 01:45:00 
395,48.9,2019-01-14 02:00:00 
396,11.7,2019-01-14 02:15:00 
397,25.8,2019-01-14 02:30:00 
398,38.1,2019-01-14 02:45:00 
399,49.1,2019-01-14 03:00:00 
400,14.3,2019-01-14 03:15:00 
401,32.3,2019-01-14 03:30:00 
402,54.6,2019-01-14 03:45:00 
403,70.0,2019-01-14 04:00:00 
404,15.1,2019-01-14 04:15:00 
405,29.0,2019-01-14 04:30:00 
406,43.1,2019-01-14 04:45:00 
407,53.9,2019-01-14 05:00:00 
408,13.7,2019-01-14 05:15:00 
409,30.3,2019-01-14 05:30:00 
410,41.8,2019-01-14 05:45:00 
411,53.0,2019-01-14 06:00:00 
412,13.6,2019-01-14 06:15:00 
413,27.2,2019-01-14 06:30:00 
414,37.9,2019-01-14 06:45:00 
415,49.9,2019-01-14 07:00:00 
416,8.2,2019-01-14 07:15:00 
417,17.1,2019-01-14 07:30:00 
418,28.2,2019-01-14 07:45:00 
419,36.7,2019-01-14 08:00:00 
420,8.0,2019-01-14 08:15:00 
421,15.3,2019-01-14 08:30:00 
422,18.4,2019-01-14 08:45:00 
423,24.8,2019-01-14 09:00:00 
424,3.1,2019-01-14 09:15:00 
425,8.7,2019-01-14 09:30:00 
426,12.8,2019-01-14 09:45:00 
427,18.4,2019-01-14 10:00:00 
428,3.5,2019-01-14 10:15:00 
429,10.8,2019-01-14 10:30:00 
430,14.2,2019-01-14 10:45:00 
431,19.3,2019-01-14 11:00:00 
432,6.0,2019-01-14 11:15:00 
433,9.5,2019-01-14 11:30:00 
434,14.5,2019-01-14 11:45:00 
435,20.4,2019-01-14 12:00:00 
436,3.6,2019-01-14 12:15:00 
437,8.5,2019-01-14 12:30:00 
438,14.1,2019-01-14 12:45:00 
439,17.9,2019-01-14 13:00:00 
440,5.2,2019-01-14 13:15:00 
441,9.3,2019-01-14 13:30:00 
442,14.3,2019-01-14 13:45:00 
443,19.0,2019-01-14 14:00:00 
444,3.8,2019-01-14 14:15:00 
445,9.4,2019-01-14 14:30:00 
446,12.6,2019-01-14 14:45:00 
447,17.9,2019-01-14 15:00:00 
448,4.0,2019-01-14 15:15:00 
449,8.8,2019-01-14 15:30:00 
450,12.5,2019-01-14 15:45:00 
451,17.7,2019-01-14 16:00:00 
452,4.2,2019-01-14 16:15:00 
453,8.6,2019-01-14 16:30:00 
454,13.0,2019-01-14 16:45:00 
455,17.4,2019-01-14 17:00:00 
456,3.7,2019-01-14 17:15:00 
457,10.5,2019-01-14 17:30:00 
458,16.9,2019-01-14 17:45:00 
459,22.1,2019-01-14 18:00:00 
460,6.9,2019-01-14 18:15:00 
461,14.6,2019-01-14 18:30:00 
462,21.7,2019-01-14 18:45:00 
463,28.8,2019-01-14 19:00:00 
464,6.3,2019-01-14 19:15:00 
465,14.3,2019-01-14 19:30:00 
466,21.2,2019-01-14 19:45:00 
467,27.9,2019-01-14 20:00:00 
468,8.4,2019-01-14 20:15:00 
469,14.4,2019-01-14 20:30:00 
470,21.3,2019-01-14 20:45:00 
471,29.1,2019-01-14 21:00:00 
472,7.8,2019-01-14 21:15:00 
473,16.8,2019-01-14 21:30:00 
474,26.2,2019-01-14 21:45:00 
475,35.7,2019-01-14 22:00:00 
476,9.7,2019-01-14 22:15:00 
477,19.7,2019-01-14 22:30:00 
478,30.5,2019-01-14 22:45:00 
479,41.9,2019-01-14 23:00:00 
480,13.4,2019-01-14 23:15:00 
481,24.8,2019-01-14 23:30:00 
482,34.3,2019-01-14 23:45:00 
483,46.1,2019-01-15 00:00:00 
484,12.3,2019-01-15 00:15:00 
485,22.2,2019-01-15 00:30:00 
486,36.3,2019-01-15 00:45:00 
487,51.1,2019-01-15 01:00:00 
488,14.7,2019-01-15 01:15:00 
489,32.0,2019-01-15 01:30:00 
490,45.0,2019-01-15 01:45:00 
491,57.1,2019-01-15 02:00:00 
492,15.0,2019-01-15 02:15:00 
493,34.1,2019-01-15 02:30:00 
494,53.7,2019-01-15 02:45:00 
495,72.1,2019-01-15 03:00:00 
496,13.1,2019-01-15 03:15:00 
497,28.2,2019-01-15 03:30:00 
498,43.1,2019-01-15 03:45:00 
499,52.5,2019-01-15 04:00:00 
500,14.5,2019-01-15 04:15:00 
501,29.1,2019-01-15 04:30:00 
502,41.0,2019-01-15 04:45:00 
503,51.6,2019-01-15 05:00:00 
504,13.4,2019-01-15 05:15:00 
505,26.6,2019-01-15 05:30:00 
506,38.5,2019-01-15 05:45:00 
507,48.1,2019-01-15 06:00:00 
508,11.9,2019-01-15 06:15:00 
509,24.3,2019-01-15 06:30:00 
510,33.4,2019-01-15 06:45:00 
511,41.8,2019-01-15 07:00:00 
512,10.4,2019-01-15 07:15:00 
513,19.0,2019-01-15 07:30:00 
514,26.2,2019-01-15 07:45:00 
515,34.4,2019-01-15 08:00:00 
516,7.2,2019-01-15 08:15:00 
517,12.6,2019-01-15 08:30:00 
518,17.1,2019-01-15 08:45:00 
519,22.1,2019-01-15 09:00:00 
520,5.3,2019-01-15 09:15:00 
521,8.6,2019-01-15 09:30:00 
522,14.1,2019-01-15 09:45:00 
523,17.8,2019-01-15 10:00:00 
524,4.7,2019-01-15 10:15:00 
525,10.1,2019-01-15 10:30:00 
526,15.1,2019-01-15 10:45:00 
527,20.0,2019-01-15 11:00:00 
528,4.4,2019-01-15 11:15:00 
529,9.6,2019-01-15 11:30:00 
530,14.1,2019-01-15 11:45:00 
531,18.7,2019-01-15 12:00:00 
532,5.1,2019-01-15 12:15:00 
533,8.9,2019-01-15 12:30:00 
534,14.0,2019-01-15 12:45:00 
535,19.1,2019-01-15 13:00:00 
536,3.4,2019-01-15 13:15:00 
537,9.0,2019-01-15 13:30:00 
538,13.5,2019-01-15 13:45:00 
539,17.6,2019-01-15 14:00:00 
540,5.7,2019-01-15 14:15:00 
541,9.3,2019-01-15 14:30:00 
542,14.3,2019-01-15 14:45:00 
543,18.3,2019-01-15 15:00:00 
544,5.3,2019-01-15 15:15:00 
545,9.5,2019-01-15 15:30:00 
546,13.7,2019-01-15 15:45:00 
547,19.1,2019-01-15 16:00:00 
548,3.3,2019-01-15 16:15:00 
549,8.5,2019-01-15 16:30:00 
550,12.3,2019-01-15 16:45:00 
551,17.1,2019-01-15 17:00:00 
552,4.3,2019-01-15 17:15:00 
553,12.0,2019-01-15 17:30:00 
554,18.7,2019-01-15 17:45:00 
555,24.6,2019-01-15 18:00:00 
556,5.7,2019-01-15 18:15:00 
557,13.0,2019-01-15 18:30:00 
558,21.2,2019-01-15 18:45:00 
559,27.9,2019-01-15 19:00:00 
560,7.7,2019-01-15 19:15:00 
561,13.5,2019-01-15 19:30:00 
562,21.1,2019-01-15 19:45:00 
563,26.9,2019-01-15 20:00:00 
564,6.7,2019-01-15 20:15:00 
565,14.1,2019-01-15 20:30:00 
566,21.1,2019-01-15 20:45:00 
567,28.0,2019-01-15 21:00:00 
568,9.0,2019-01-15 21:15:00 
569,16.5,2019-01-15 21:30:00 
570,25.5,2019-01-15 21:45:00 
571,34.5,2019-01-15 22:00:00 
572,8.9,2019-01-15 22:15:00 
573,18.6,2019-01-15 22:30:00 
574,28.0,2019-01-15 22:45:00 
575,38.0,2019-01-15 23:00:00 
576,11.5,2019-01-15 23:15:00 
577,22.1,2019-01-15 23:30:00 
578,32.8,2019-01-15 23:45:00 
579,43.1,2019-01-16 00:00:00 
580,10.5,2019-01-16 00:15:00 
581,23.5,2019-01-16 00:30:00 
582,36.3,2019-01-16 00:45:00 
583,47.0,2019-01-16 01:00:00 
584,10.6,2019-01-16 01:15:00 
585,23.1,2019-01-16 01:30:00 
586,35.7,2019-01-16 01:45:00 
587,49.4,2019-01-16 02:00:00 
588,14.1,2019-01-16 02:15:00 
589,24.8,2019-01-16 02:30:00 
590,35.9,2019-01-16 02:45:00 
591,47.6,2019-01-16 03:00:00 
592,12.7,2019-01-16 03:15:00 
593,24.6,2019-01-16 03:30:00 
594,36.3,2019-01-16 03:45:00 
595,47.2,2019-01-16 04:00:00 
596,11.6,2019-01-16 04:15:00 
597,21.7,2019-01-16 04:30:00 
598,31.9,2019-01-16 04:45:00 
599,44.2,2019-01-16 05:00:00 
600,9.5,2019-01-16 05:15:00 
601,19.5,2019-01-16 05:30:00 
602,29.0,2019-01-16 05:45:00 
603,38.2,2019-01-16 06:00:00 
604,9.3,2019-01-16 06:15:00 
605,18.4,2019-01-16 06:30:00 
606,27.0,2019-01-16 06:45:00 
607,35.0,2019-01-16 07:00:00 
608,6.9,2019-01-16 07:15:00 
609,13.2,2019-01-16 07:30:00 
610,18.5,2019-01-16 07:45:00 
611,25.9,2019-01-16 08:00:00 
612,4.0,2019-01-16 08:15:00 
613,9.9,2019-01-16 08:30:00 
614,13.9,2019-01-16 08:45:00 
615,17.3,2019-01-16 09:00:00 
616,5.2,2019-01-16 09:15:00 
617,9.1,2019-01-16 09:30:00 
618,13.7,2019-01-16 09:45:00 
619,17.8,2019-01-16 10:00:00 
620,5.5,2019-01-16 10:15:00 
621,9.0,2019-01-16 10:30:00 
622,14.5,2019-01-16 10:45:00 
623,18.6,2019-01-16 11:00:00 
624,5.0,2019-01-16 11:15:00 
625,8.7,2019-01-16 11:30:00 
626,14.4,2019-01-16 11:45:00 
627,17.9,2019-01-16 12:00:00 
628,5.2,2019-01-16 12:15:00 
629,9.3,2019-01-16 12:30:00 
630,14.5,2019-01-16 12:45:00 
631,18.3,2019-01-16 13:00:00 
632,4.9,2019-01-16 13:15:00 
633,8.9,2019-01-16 13:30:00 
634,12.9,2019-01-16 13:45:00 
635,18.3,2019-01-16 14:00:00 
636,3.3,2019-01-16 14:15:00 
637,8.7,2019-01-16 14:30:00 
638,12.5,2019-01-16 14:45:00 
639,17.6,2019-01-16 15:00:00 
640,3.8,2019-01-16 15:15:00 
641,8.5,2019-01-16 15:30:00 
642,12.5,2019-01-16 15:45:00 
643,17.0,2019-01-16 16:00:00 
644,4.7,2019-01-16 16:15:00 
645,8.1,2019-01-16 16:30:00 
646,13.4,2019-01-16 16:45:00 
647,17.4,2019-01-16 17:00:00 
648,5.2,2019-01-16 17:15:00 
649,11.7,2019-01-16 17:30:00 
650,18.5,2019-01-16 17:45:00 
651,24.3,2019-01-16 18:00:00 
652,6.6,2019-01-16 18:15:00 
653,14.8,2019-01-16 18:30:00 
654,21.0,2019-01-16 18:45:00 
655,28.0,2019-01-16 19:00:00 
656,7.7,2019-01-16 19:15:00 
657,15.3,2019-01-16 19:30:00 
658,22.0,2019-01-16 19:45:00 
659,29.6,2019-01-16 20:00:00 
660,8.0,2019-01-16 20:15:00 
661,14.7,2019-01-16 20:30:00 
662,21.2,2019-01-16 20:45:00 
663,29.1,2019-01-16 21:00:00 
664,9.0,2019-01-16 21:15:00 
665,19.5,2019-01-16 21:30:00 
666,30.0,2019-01-16 21:45:00 
667,39.0,2019-01-16 22:00:00 
668,10.3,2019-01-16 22:15:00 
669,20.2,2019-01-16 22:30:00 
670,30.3,2019-01-16 22:45:00 
671,41.5,2019-01-16 23:00:00 
672,8.5,2019-01-16 23:15:00 
673,19.6,2019-01-16 23:30:00 
674,29.8,2019-01-16 23:45:00 
675,38.8,2019-01-17 00:00:00 
676,11.2,2019-01-17 00:15:00 
677,20.8,2019-01-17 00:30:00 
678,32.1,2019-01-17 00:45:00 
679,42.8,2019-01-17 01:00:00 
680,10.8,2019-01-17 01:15:00 
681,21.6,2019-01-17 01:30:00 
682,32.2,2019-01-17 01:45:00 
683,42.4,2019-01-17 02:00:00 
684,10.3,2019-01-17 02:15:00 
685,22.2,2019-01-17 02:30:00 
686,33.0,2019-01-17 02:45:00 
687,44.9,2019-01-17 03:00:00 
688,11.5,2019-01-17 03:15:00 
689,23.3,2019-01-17 03:30:00 
690,35.2,2019-01-17 03:45:00 
691,46.3,2019-01-17 04:00:00 
692,12.3,2019-01-17 04:15:00 
693,24.3,2019-01-17 04:30:00 
694,38.1,2019-01-17 04:45:00 
695,48.0,2019-01-17 05:00:00 
696,9.8,2019-01-17 05:15:00 
697,22.2,2019-01-17 05:30:00 
